Variable:,pr
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1970,1979.39,2554.14,1425.71,1417.91,605.41,1251.51,1708.59,1019.79,2468.15,1560.52,2420.70,333.72,2326.63,1263.79,499.87,1065.53,2531.36,2299.71,524.64,2558.25,628.35,1880.44,2492.75,353.98,480.31,2193.84
1971,2308.38,3057.03,1547.76,1569.28,601.96,1405.22,2141.72,915.21,2562.71,1649.20,2683.30,357.79,2497.16,1498.56,901.77,1112.27,3181.41,2463.86,527.48,2830.56,998.45,1727.56,2953.85,361.93,819.99,2623.78
1972,2004.23,2493.27,1481.64,1441.33,686.57,1382.59,1678.78,867.85,2312.92,1629.64,2298.21,466.17,2250.77,1317.57,823.23,1164.96,2664.08,2245.95,607.73,2419.17,981.43,1712.66,2387.10,436.49,988.25,2052.40
1973,2261.04,2686.57,1572.11,1819.67,759.58,1613.13,1907.65,1023.70,2796.70,1979.52,2508.95,441.97,2608.47,1462.50,854.28,1229.04,2923.70,2652.28,662.73,2683.33,952.22,2032.02,2585.91,450.87,1119.81,2495.74
1974,1928.13,2483.15,1561.83,1606.49,630.08,1404.04,1943.17,1004.48,2491.86,1702.06,2397.39,424.43,2399.11,1455.98,682.59,1179.92,2289.01,2238.86,577.62,2599.74,794.76,1832.44,2461.02,429.60,511.68,2033.00
1975,2247.39,2808.43,1599.34,1702.43,880.15,1603.76,2034.35,1047.10,2406.59,1788.20,2480.48,494.82,2424.10,1503.08,910.11,1264.69,3061.16,2304.36,776.21,2593.93,1005.66,1788.96,2777.34,555.35,1107.49,2376.38
1976,2004.41,2621.71,1531.98,1517.38,842.72,1436.37,1866.39,961.31,2286.47,1657.15,2256.90,470.91,2199.03,1406.16,741.51,1167.25,2637.73,2017.61,737.87,2390.58,1057.53,1801.18,2397.59,568.17,1213.87,1978.99
1977,2142.61,2509.50,1568.66,1624.56,809.96,1498.98,1760.41,1188.47,2491.96,1797.63,2464.58,422.79,2353.55,1422.10,640.73,1218.28,2755.75,2559.55,719.06,2585.46,853.38,2026.16,2518.99,522.07,781.85,2389.93
1978,1910.63,2158.55,1195.79,1388.37,647.01,1246.16,1347.49,881.44,2192.31,1452.37,2139.46,289.01,2111.31,1059.51,393.07,933.75,2608.15,2279.71,552.19,2279.46,506.93,1769.94,2310.70,382.20,477.67,2192.80
1979,1890.07,2303.96,1293.89,1344.60,537.01,1136.93,1528.29,943.80,2358.02,1438.57,2137.83,242.20,2119.21,1158.74,435.57,893.52,2504.65,2432.97,425.53,2288.24,564.46,1841.49,2209.11,303.39,405.01,2053.77
1980,1940.46,2294.90,1428.19,1441.51,667.64,1304.12,1589.94,905.01,2462.07,1598.81,2351.69,331.19,2241.88,1241.86,412.74,1048.26,2479.61,2370.01,534.08,2397.93,596.72,1885.94,2341.15,341.62,502.36,2109.37
1981,2267.83,2657.45,1476.92,1672.45,769.43,1488.05,1757.66,1117.43,2887.78,1704.67,2730.49,366.25,2665.02,1337.89,544.88,1077.87,2890.39,2731.57,665.85,2977.50,749.42,2094.37,2856.76,516.86,601.41,2674.11
1982,2321.64,2757.59,1454.64,1693.22,775.28,1497.80,1831.79,1146.67,2934.87,1742.63,2943.25,398.58,2678.66,1363.64,720.78,1089.51,2913.74,2758.55,707.87,3133.88,1077.33,2159.07,2991.72,496.27,1143.81,2720.59
1983,2160.76,2570.41,1750.26,1316.11,593.18,1240.20,2239.58,832.08,2436.89,1550.33,2331.52,428.20,2277.19,1775.30,2499.37,1204.10,2712.95,2483.90,448.54,2457.63,2784.60,1843.34,2509.86,339.88,3549.36,2172.02
1984,2373.97,2673.94,1660.10,1936.52,985.01,1778.68,1883.91,1330.85,2731.97,2005.61,2902.50,522.80,2705.40,1538.39,925.02,1324.41,3022.07,2587.24,912.74,3028.42,933.02,2105.70,3095.22,676.37,901.53,2691.93
