Variable:,pr
,Paraguay,"Alto Paraguay","Alto Parana",Amambay,Boqueron,Caaguazu,Caazapa,Canindeyu,Central,Concepcion,Cordillera,Guaira,Itapua,Misiones,Neembucu,Paraguari,"Presidente Hayes","San Pedro"
1970,1438.18,1193.33,1609.32,1420.26,1206.36,1586.66,1843.54,1466.47,1681.16,1596.87,1695.32,1741.21,1868.46,1771.58,1705.71,1849.27,1504.78,1631.14
1971,1547.47,1446.38,1690.17,1579.77,1286.55,1683.54,1777.53,1536.72,1799.16,1847.77,1835.38,1716.91,1739.03,1464.78,1362.43,1716.63,1674.77,1811.23
1972,1391.16,1050.26,1848.94,1517.65,1015.34,1775.06,2095.38,1671.57,1829.54,1457.79,1799.00,1936.77,2317.84,2174.77,1963.38,1978.66,1269.64,1631.97
1973,1541.29,1137.38,2069.98,1792.25,1096.21,2021.74,2085.49,1924.29,1983.28,1730.89,2008.68,2028.29,2221.21,2124.63,2063.99,2060.85,1542.91,1910.60
1974,1506.83,1391.24,1758.28,1741.41,1009.44,1712.84,2102.86,1668.02,1764.42,1788.71,1741.19,1968.74,2146.38,1847.77,1600.10,1923.69,1558.64,1756.49
1975,1212.91,876.85,1651.80,1360.82,745.25,1599.02,1786.96,1503.37,1718.32,1343.73,1660.03,1702.98,1881.90,1895.39,1758.10,1849.60,1239.34,1529.69
1976,1270.76,1298.51,1493.47,1608.08,946.47,1413.87,1330.41,1576.53,1133.33,1631.25,1231.36,1260.59,1401.44,1238.10,1145.30,1197.90,1283.80,1514.89
1977,1315.54,1284.21,1712.33,1477.06,1013.99,1563.60,1653.71,1500.49,1435.70,1416.57,1475.34,1590.80,1727.92,1528.37,1424.15,1493.16,1233.71,1455.52
1978,968.15,912.46,1155.51,1192.42,667.16,1129.32,1105.86,1135.16,1002.22,1202.33,1035.74,1070.00,1136.83,1107.70,1112.42,1028.28,1040.44,1111.08
1979,1546.05,1240.83,2081.04,1788.97,1096.93,2054.77,2007.50,1962.54,1890.45,1899.26,1980.47,1954.86,2012.00,1865.25,1704.34,1888.44,1540.35,2022.03
1980,1626.19,1432.92,1934.83,1935.18,1118.01,1849.60,1984.35,1888.18,1956.47,2060.30,1948.69,1907.74,2044.08,1966.42,1780.89,1983.77,1726.93,2012.64
1981,1394.61,1370.60,1637.53,1435.55,1168.08,1521.77,1528.31,1570.66,1469.17,1482.48,1487.79,1468.38,1614.47,1517.09,1462.84,1504.48,1386.80,1589.52
1982,1623.97,1409.23,1924.30,1825.43,1245.49,1900.20,1942.28,1905.94,1825.26,1908.73,1866.74,1859.68,1994.89,1945.52,1812.86,1853.61,1716.97,1865.32
1983,1830.20,1461.94,2670.90,2326.53,1184.90,2469.38,2483.35,2525.96,2038.92,2339.88,2336.19,2408.14,2538.79,1999.87,1714.27,2121.11,1823.43,2519.19
1984,1583.80,1279.06,1934.03,1529.03,1346.10,1849.87,2026.62,1826.54,1791.78,1629.39,1841.55,1886.13,2193.53,2138.92,1922.12,1997.92,1542.12,1893.22
1985,1388.87,1235.51,1349.04,1154.47,1336.89,1370.49,1668.04,1179.80,1685.10,1290.53,1577.68,1568.81,1742.16,1674.87,1590.99,1775.18,1474.86,1404.47
1986,1641.42,1265.94,1963.94,1608.02,1266.81,1973.55,2141.15,1660.31,2225.31,1613.91,2144.94,2106.34,2214.77,2441.00,2336.79,2265.57,1798.08,1780.18
1987,1730.67,1452.49,2239.72,1961.78,1263.64,2074.58,2171.30,2118.12,1988.88,2015.60,1974.77,2027.03,2377.96,2045.18,1861.12,2070.70,1793.90,2111.57
1988,1319.64,1255.76,1603.69,1327.70,1073.86,1511.38,1456.72,1465.30,1374.63,1371.06,1479.29,1425.90,1505.95,1557.08,1408.96,1416.02,1375.54,1480.94
