Variable:,pr
,"El Salvador",Ahuachapan,Cabanas,Chalatenango,Cuscatlan,"La Libertad","La Paz","La Union",Morazan,"San Miguel","San Salvador","San Vicente","Santa Ana",Sonsonate,Usulutan
1970,1644.69,1692.15,1601.36,1395.63,1501.80,1497.81,1706.28,1725.39,1856.46,1847.39,1453.23,1667.05,1362.42,1767.73,1843.69
1971,1626.45,1894.29,1490.84,1376.04,1493.07,1579.06,1738.07,1626.86,1626.48,1693.57,1510.32,1580.68,1417.45,1961.98,1786.69
1972,1255.74,1310.25,1334.18,1131.70,1249.15,1225.14,1247.19,1221.48,1376.72,1333.08,1208.45,1326.49,1042.30,1409.92,1292.52
1973,1788.42,1848.35,1735.64,1590.66,1655.36,1645.37,1693.76,1960.80,2164.77,1991.11,1615.15,1745.84,1512.90,1958.50,1827.76
1974,1291.48,1370.82,1257.47,1183.45,1210.76,1224.29,1348.45,1286.33,1352.16,1362.73,1190.90,1304.00,1121.91,1445.63,1404.50
1975,1590.71,1566.69,1551.12,1387.20,1448.55,1429.55,1618.46,1744.24,1844.19,1809.00,1396.58,1604.92,1286.32,1649.50,1775.00
1976,1289.51,1374.25,1261.13,1251.38,1231.92,1241.71,1305.57,1191.27,1359.06,1359.05,1219.54,1290.33,1162.62,1448.93,1364.19
1977,1226.84,1308.60,1209.59,1051.05,1146.85,1147.77,1214.39,1271.60,1376.67,1355.67,1118.84,1231.60,1025.26,1391.85,1312.87
1978,1594.07,1621.89,1524.54,1368.43,1453.03,1455.17,1618.43,1744.20,1829.01,1793.96,1421.04,1587.28,1291.27,1706.16,1770.73
1979,1787.89,1799.59,1773.61,1573.07,1646.13,1617.92,1796.91,1984.72,2020.62,1997.25,1581.74,1813.69,1462.84,1869.50,1955.44
1980,1444.97,1458.02,1378.26,1318.65,1327.70,1319.97,1375.56,1590.15,1671.80,1625.91,1300.78,1399.54,1236.46,1548.44,1528.99
1981,1657.33,1767.66,1539.26,1473.58,1488.43,1510.19,1647.38,1807.75,1864.61,1832.89,1466.37,1595.53,1421.20,1834.26,1788.16
1982,1522.49,1658.62,1447.69,1345.50,1443.66,1482.52,1494.82,1648.89,1585.72,1602.75,1452.85,1474.44,1340.15,1737.62,1581.57
1983,1314.73,1422.05,1318.18,1267.95,1272.96,1275.65,1305.32,1252.22,1446.12,1344.43,1251.98,1327.19,1176.55,1516.15,1313.98
1984,1573.86,1654.36,1529.29,1456.95,1503.47,1525.50,1617.81,1475.34,1656.94,1684.65,1496.58,1578.18,1398.01,1760.02,1702.39
1985,1423.28,1536.78,1341.37,1252.72,1311.99,1340.70,1437.76,1448.67,1577.05,1548.85,1302.66,1392.15,1221.30,1636.17,1532.11
1986,1112.91,1154.71,1157.73,1074.86,1114.83,1107.08,1130.20,1017.51,1191.58,1131.39,1095.14,1165.02,974.13,1260.38,1132.02
1987,1190.76,1220.60,1206.28,1161.62,1153.00,1133.22,1154.87,1146.80,1341.38,1284.17,1122.73,1207.09,1027.34,1308.94,1222.51
1988,1719.56,1644.61,1662.06,1525.65,1544.08,1511.53,1739.15,1962.49,2053.12,1961.24,1479.11,1721.21,1411.49,1714.87,1901.67
1989,1550.11,1662.06,1506.96,1475.90,1461.40,1458.38,1503.44,1556.41,1656.24,1635.30,1433.09,1524.18,1444.06,1742.14,1593.25
1990,1362.32,1387.57,1347.59,1312.30,1295.11,1274.69,1291.91,1395.28,1496.30,1488.78,1263.19,1350.13,1197.35,1491.67,1416.72
1991,1210.20,1334.83,1236.42,1148.10,1221.42,1233.30,1177.99,1101.08,1296.68,1211.79,1220.97,1229.79,1086.92,1443.01,1177.92
1992,1429.33,1450.22,1413.83,1276.34,1320.29,1304.38,1505.01,1425.98,1585.93,1585.65,1270.61,1475.42,1187.70,1528.73,1612.00
1993,1724.00,1687.00,1741.73,1444.33,1631.51,1606.76,1727.88,1960.30,1960.96,1918.91,1580.24,1769.26,1382.59,1794.27,1867.18
1994,1135.41,1175.58,1124.65,1085.42,1112.69,1111.29,1053.07,1173.71,1302.81,1183.75,1108.76,1114.11,1022.65,1269.40,1095.62
1995,2188.04,2266.21,2092.37,1818.52,1983.48,1981.75,2152.86,2488.61,2490.82,2476.78,1932.78,2153.11,1817.26,2364.71,2396.91
1996,1875.51,1851.99,1841.10,1593.48,1715.35,1692.97,1884.33,2067.92,2200.41,2153.28,1653.05,1891.74,1504.96,1967.89,2076.31
