Variable:,pr
,Uruguay,Artigas,Canelones,"Cerro Largo",Colonia,Durazno,Flores,Florida,Lavalleja,Maldonado,Montevideo,Paysandu,"Rio Negro",Rivera,Rocha,Salto,"San Jose",Soriano,Tacuarembo,"Treinta Y Tres"
1970,1230.59,1454.32,1046.10,1313.72,999.85,1250.93,1179.72,1159.65,1066.70,1022.91,1010.44,1347.88,1270.39,1423.35,1059.86,1378.19,1043.58,1057.94,1317.51,1184.00
1971,1176.76,1145.36,1186.44,1087.59,1212.55,1205.65,1204.82,1198.82,1206.91,1173.82,1175.63,1224.54,1261.40,1078.42,1217.34,1145.53,1166.38,1215.38,1166.19,1128.03
1972,1219.12,1545.46,996.95,1363.82,1032.37,1228.50,1060.99,1047.41,1011.78,980.24,1003.24,1242.24,1173.56,1481.05,1022.67,1399.11,986.29,1099.46,1347.21,1235.56
1973,1425.17,1877.76,1172.46,1476.74,1300.02,1373.16,1312.40,1182.79,1148.39,1103.48,1209.97,1620.63,1493.85,1585.56,1129.34,1706.47,1206.24,1346.77,1554.30,1291.36
1974,1213.59,1398.92,878.66,1403.14,814.43,1269.18,1004.92,1027.56,1104.34,1006.91,830.80,1286.13,1143.90,1418.22,1199.06,1387.28,846.79,901.47,1426.53,1330.09
1975,1072.18,1340.70,1044.12,1052.00,1012.83,973.60,974.43,1031.53,1019.05,1071.60,1010.51,1090.19,1071.85,1179.92,992.90,1208.41,1001.13,1049.38,1049.52,980.02
1976,1258.03,1381.23,1217.82,1256.65,1277.19,1246.87,1224.63,1261.31,1249.34,1114.25,1227.01,1168.93,1161.93,1397.08,1170.69,1312.66,1241.81,1258.07,1311.00,1273.35
1977,1608.88,1729.52,1236.73,1841.40,1212.90,1688.87,1388.19,1472.86,1526.50,1327.01,1184.99,1628.94,1524.70,1930.55,1580.27,1687.83,1241.32,1367.51,1807.99,1787.73
1978,1178.65,1132.76,1242.28,1042.45,1216.51,1220.25,1319.26,1222.15,1184.40,1222.10,1242.54,1212.51,1325.10,1132.27,1139.37,1124.95,1233.25,1320.97,1122.95,1063.94
1979,855.10,1118.66,661.36,981.79,650.22,802.57,720.93,729.78,753.01,747.46,605.50,894.84,835.90,1016.68,813.44,943.97,648.33,733.80,925.42,890.77
1980,1487.51,1737.03,1294.09,1635.44,1191.48,1553.16,1396.71,1369.30,1322.54,1247.17,1277.73,1499.30,1472.15,1741.53,1273.72,1592.85,1256.05,1337.27,1710.26,1442.09
1981,1266.91,1426.93,1221.66,1225.43,1295.62,1236.08,1280.42,1228.13,1157.57,1192.61,1160.66,1316.89,1308.91,1290.17,1147.97,1376.52,1215.58,1328.45,1279.25,1161.45
1982,1417.43,1699.24,1229.37,1564.06,1163.84,1417.35,1164.05,1295.51,1349.95,1256.15,1239.20,1469.12,1271.62,1639.34,1323.68,1642.04,1204.44,1084.93,1548.00,1429.18
1983,1337.77,1647.65,1175.02,1364.76,1084.79,1294.85,1131.14,1285.88,1334.10,1250.08,1086.42,1419.04,1350.43,1423.74,1254.44,1517.50,1113.51,1123.84,1372.42,1359.79
1984,1542.58,1729.03,1449.72,1651.57,1485.33,1512.41,1499.54,1451.75,1386.07,1370.17,1416.37,1556.69,1514.21,1817.48,1318.29,1605.70,1453.30,1546.60,1652.28,1458.96
1985,1219.18,1535.39,1033.90,1248.67,1084.74,1145.82,1144.86,1069.36,1060.43,1046.63,1036.42,1250.55,1224.54,1471.73,1150.97,1358.89,1063.20,1164.90,1299.87,1137.74
1986,1618.26,2033.11,1363.81,1605.13,1414.31,1580.14,1411.48,1465.32,1476.24,1386.78,1394.28,1770.39,1582.72,1789.87,1469.03,1909.32,1408.70,1415.60,1741.83,1514.18
1987,1239.73,1329.40,1077.23,1399.15,1126.28,1286.10,1081.92,1197.74,1223.60,1141.38,1037.42,1159.11,1082.85,1445.08,1219.66,1208.90,1082.35,1091.92,1359.55,1396.54
1988,1079.22,1313.08,890.00,1159.05,902.97,986.93,890.14,841.78,834.09,856.70,929.33,1336.15,1094.87,1228.76,833.93,1369.57,888.47,930.12,1290.99,982.33
1989,844.84,1062.08,732.95,855.42,767.36,798.64,768.63,740.80,800.24,768.54,737.32,870.94,872.07,879.12,820.58,908.01,734.58,835.89,842.95,891.34
1990,1562.97,1686.10,1226.77,1590.59,1289.97,1800.65,1569.32,1480.30,1356.24,1213.49,1130.79,1705.68,1761.26,1573.98,1324.39,1720.55,1219.53,1452.45,1719.76,1605.13
1991,1405.21,1553.75,1191.26,1415.88,1143.87,1478.54,1311.22,1328.81,1371.47,1261.78,1105.84,1505.68,1442.16,1467.47,1366.53,1561.29,1167.86,1259.69,1453.51,1426.23
1992,1318.94,1495.75,1171.14,1389.42,1061.35,1319.02,1225.46,1256.23,1281.15,1209.83,1127.83,1354.07,1352.93,1458.77,1327.20,1369.32,1087.25,1197.04,1347.74,1378.57
1993,1464.61,1759.03,1425.89,1381.06,1490.81,1440.28,1454.80,1381.52,1324.22,1346.43,1512.92,1477.10,1446.24,1625.60,1259.37,1612.28,1521.16,1449.04,1536.04,1302.08
1994,1306.81,1572.08,1208.73,1508.66,1134.74,1204.06,1188.53,1187.12,1180.43,1138.61,1224.84,1252.90,1242.93,1559.36,1234.46,1318.48,1173.25,1211.89,1433.09,1348.12
1995,1102.42,1402.31,849.01,1316.56,797.94,1068.21,896.89,1002.32,1011.29,904.53,785.73,1053.25,989.25,1382.57,1077.66,1187.58,826.59,863.03,1254.28,1209.97
1996,1118.16,1552.01,1004.00,1109.78,977.67,1042.47,947.95,967.19,965.58,1065.60,985.87,1170.91,1094.98,1361.49,963.81,1388.32,928.40,999.35,1148.12,978.85
1997,1299.61,1596.22,1050.55,1549.51,1021.64,1361.41,1196.66,1149.99,1121.44,1088.68,1058.57,1282.47,1354.01,1509.74,1082.58,1319.61,1034.12,1217.04,1429.53,1366.57
1998,1688.96,2344.29,1235.02,1872.11,1115.92,1581.34,1241.90,1375.98,1445.19,1359.80,1195.62,1725.38,1410.81,2241.85,1619.02,2189.17,1146.95,1177.78,2035.30,1696.73
1999,1129.13,1313.85,1069.60,1072.51,1111.12,1114.95,1090.55,1072.77,1078.78,1082.65,1080.38,1180.01,1136.42,1167.26,1110.97,1227.24,1068.81,1082.72,1141.09,1025.70
2000,1491.22,1662.04,1336.61,1430.49,1395.50,1512.36,1471.64,1464.28,1435.97,1333.19,1313.01,1625.89,1614.09,1434.64,1413.83,1554.56,1405.55,1470.41,1508.40,1445.60
2001,1539.67,1955.03,1340.52,1615.04,1517.75,1519.09,1554.33,1451.15,1359.24,1363.87,1315.06,1444.41,1435.03,1719.56,1380.47,1664.73,1445.17,1559.19,1573.83,1510.72
2002,2001.06,2360.99,1596.76,2211.50,1677.99,1909.66,1695.00,1719.29,1766.22,1561.72,1607.46,2201.89,1977.50,2269.51,1805.72,2313.12,1639.61,1777.55,2252.99,2020.25
2003,1398.23,1428.63,1319.09,1371.50,1345.41,1410.98,1397.50,1379.95,1366.54,1299.90,1273.34,1529.27,1449.50,1437.20,1276.60,1434.62,1345.16,1361.11,1466.02,1335.25
2004,970.51,1018.41,1005.32,989.28,953.68,877.03,892.16,889.66,945.91,1092.31,1055.38,974.27,943.11,1076.26,1013.47,1012.50,969.23,894.62,976.63,957.51
2005,1220.69,1295.15,1096.99,1185.96,1063.14,1266.71,1253.04,1203.36,1184.25,1154.90,1049.09,1323.50,1281.24,1302.47,1177.47,1261.33,1128.07,1104.83,1257.19,1179.59
2006,1129.37,1044.41,1134.00,1137.78,1016.74,1222.71,1221.27,1152.80,1104.41,1089.05,1107.55,1126.19,1290.85,1100.90,1139.01,1021.15,1098.26,1208.74,1096.84,1166.22
2007,1361.12,1396.01,1280.57,1323.35,1357.30,1435.94,1349.25,1362.58,1350.91,1271.74,1298.17,1361.08,1407.24,1429.23,1332.69,1344.64,1341.14,1338.11,1385.47,1325.58
2008,825.67,1042.00,803.52,905.70,673.43,729.12,664.45,754.32,850.57,919.72,793.46,749.18,705.86,1060.52,931.08,850.70,692.89,675.25,819.68,857.77
2009,1316.92,1341.70,1344.71,1263.88,1389.68,1225.21,1297.77,1241.85,1279.53,1373.47,1353.74,1340.27,1314.22,1397.00,1318.51,1334.95,1378.58,1358.46,1385.98,1192.84
2010,1254.59,1376.25,1140.67,1239.35,1134.89,1267.71,1225.25,1252.24,1273.99,1185.50,1097.13,1289.78,1256.83,1289.23,1246.68,1278.04,1141.49,1184.80,1269.60,1287.84
2011,1081.52,1350.07,893.04,1062.87,892.95,1035.35,936.56,951.27,972.48,969.30,857.39,1189.71,1058.34,1275.08,1007.17,1280.59,885.89,917.67,1215.62,993.97
2012,1323.89,1331.48,1262.25,1246.73,1407.67,1421.90,1316.13,1229.22,1222.76,1259.54,1332.49,1472.73,1486.59,1192.92,1205.57,1335.10,1308.98,1402.18,1338.07,1291.59
2013,1094.62,1292.88,873.55,1244.57,785.68,1043.57,892.69,934.61,975.38,896.32,854.35,1128.97,974.18,1387.08,1046.97,1259.81,845.45,840.21,1314.98,1177.73
2014,1611.93,1816.59,1517.23,1532.41,1584.81,1606.47,1537.83,1558.74,1605.21,1560.10,1482.48,1647.97,1592.60,1743.22,1547.05,1684.32,1508.37,1613.85,1646.11,1505.65
2015,1236.65,1799.19,809.68,1364.72,771.94,1225.62,1068.16,998.09,955.56,860.98,740.21,1355.54,1262.71,1632.81,999.27,1516.31,816.84,990.32,1441.49,1215.79
2016,1346.40,1488.92,1345.50,1335.57,1206.03,1350.53,1303.43,1370.04,1313.03,1352.11,1249.48,1401.64,1323.91,1298.73,1240.05,1481.92,1276.06,1255.47,1386.11,1289.37
2017,1367.70,1669.29,1194.43,1264.92,1206.67,1367.90,1298.21,1251.79,1214.39,1228.32,1186.38,1520.49,1466.56,1530.95,1135.11,1608.39,1168.82,1335.69,1447.55,1209.54
2018,1133.18,1192.32,1065.96,1144.48,1031.92,1122.64,1043.15,1134.31,1093.31,1033.53,1082.76,1167.58,1165.06,1243.39,1062.85,1197.18,1044.91,1084.89,1176.28,1132.97
2019,1598.06,1847.14,1154.49,1779.20,1247.35,1583.42,1454.98,1341.28,1315.40,1172.39,1131.25,1811.08,1573.60,1935.26,1343.62,1934.87,1241.05,1399.71,1847.66,1597.72
2020,856.86,980.42,719.67,931.41,678.90,873.89,776.83,797.41,829.66,797.88,673.97,874.62,825.47,954.91,869.52,876.94,707.33,714.85,939.07,900.43
