Variable:,pr
,Venezuela,Amazonas,Anzoategui,Apure,Aragua,Barinas,Bolivar,Carabobo,Cojedes,"Delta Amacuro","Dependencias Federales",Falcon,Guarico,Lara,Merida,Miranda,Monagas,"Nueva Esparta",Portuguesa,Sucre,Tachira,Trujillo,Yaracuy,Zulia,Vargas,"Distrito Capital"
1970,2319.81,3375.76,1183.78,2490.00,1348.38,2284.96,2376.68,1586.35,1628.75,1610.79,699.60,1263.81,1482.90,1254.16,3190.25,1464.77,1089.99,516.31,1891.47,1231.07,3118.20,2801.39,1538.11,3083.02,1156.74,1251.56
1971,2040.16,3456.36,876.63,2033.49,1017.55,1758.29,2039.61,1240.50,1215.66,1337.68,545.01,859.44,1061.50,930.52,3056.08,1182.89,870.22,423.85,1455.15,1016.47,2970.33,2529.77,1200.48,2452.61,911.74,966.93
1972,2276.84,3409.10,1080.34,2515.39,1293.26,2356.65,2332.77,1637.66,1778.89,1857.50,705.77,852.47,1399.17,989.03,2895.08,1522.61,1304.58,515.85,2024.56,1448.06,2997.40,2507.30,1559.81,2453.63,1099.74,1212.64
1973,2283.59,3555.85,1078.86,2341.84,1311.00,2164.26,2298.60,1596.71,1578.92,1739.75,963.92,1281.46,1331.50,1185.31,2758.62,1453.44,1224.26,644.29,1750.21,1438.67,2770.84,2572.14,1565.97,2802.71,1225.11,1266.25
1974,2113.45,3302.37,894.59,2258.58,1312.79,2165.14,1983.98,1589.99,1566.13,1508.59,759.63,1176.49,1234.92,1171.40,3232.73,1447.66,1027.51,505.77,1747.43,1222.13,3291.93,2864.13,1507.51,2683.57,1192.84,1264.70
1975,2339.76,3654.54,1112.49,2269.38,1364.02,2045.95,2428.25,1625.76,1578.36,1744.94,861.55,1245.65,1441.35,1238.48,3136.77,1455.75,1122.40,561.42,1663.48,1323.29,3128.44,2827.71,1550.77,2717.75,1249.66,1314.49
1976,2132.36,3376.98,911.86,2217.14,1266.25,2122.30,2218.68,1537.03,1592.16,1540.90,572.03,878.91,1279.51,1007.67,2851.06,1414.09,1111.94,400.03,1748.75,1157.70,2751.92,2337.33,1497.98,2047.00,1060.33,1196.45
1977,2117.36,3202.05,1043.59,2421.75,1350.41,2241.19,2134.93,1527.80,1695.38,1322.83,609.42,898.14,1512.16,960.82,2605.58,1474.38,996.68,433.48,1902.47,1202.62,2629.46,2253.77,1403.07,2271.30,1040.08,1216.43
1978,2259.98,3248.12,1151.32,2619.52,1499.48,2492.90,2291.64,1680.47,1839.88,1501.64,656.75,1003.95,1553.86,1145.08,2879.98,1506.88,1104.83,433.44,2089.08,1217.30,2812.41,2631.49,1546.90,2679.98,1187.51,1321.43
1979,2293.22,3231.87,1215.48,2529.15,1434.22,2491.79,2278.25,1689.92,1821.23,1553.69,763.71,1185.46,1527.97,1257.62,3309.78,1549.51,1221.14,542.38,2020.94,1420.00,3287.64,3039.94,1658.82,2999.24,1189.03,1326.78
1980,2016.19,3026.93,1017.82,2192.94,1285.86,2022.71,2115.97,1390.49,1509.20,1490.42,679.97,811.73,1354.23,791.39,2351.66,1427.05,1143.60,500.19,1635.75,1281.99,2358.14,2014.73,1279.87,2116.93,1001.33,1124.68
1981,2324.98,3208.16,1306.26,2393.96,1516.79,2307.35,2420.29,1678.44,1852.38,1761.54,905.93,1260.69,1504.30,1311.00,3192.51,1554.14,1416.89,537.77,2014.26,1540.32,3168.03,2928.94,1640.83,2940.38,1273.36,1395.73
1982,2119.03,3020.68,1025.07,2352.77,1441.26,2288.82,2142.49,1617.38,1677.00,1676.40,609.61,880.77,1410.07,986.37,3015.43,1671.42,1198.47,459.34,1993.74,1390.29,3091.51,2539.85,1574.21,2370.76,1119.18,1352.98
