Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1970,14.61,15.35,16.76,9.82,22.42,10.36,18.06,20.44,18.31,23.09,9.02,16.15,14.83,12.04,20.35,9.46,12.47,15.87,9.69,17.59,7.28,19.34,21.69,4.45,16.28
1971,14.15,15.08,16.32,9.37,21.71,9.71,17.64,19.84,17.73,22.25,8.42,16.01,14.41,11.86,19.74,9.16,12.19,15.18,9.39,17.37,6.62,18.76,20.99,4.22,15.71
1972,14.29,15.26,16.68,9.76,22.05,9.82,17.61,20.12,18.09,23.06,9.20,15.67,14.53,11.41,20.19,9.32,12.19,16.15,8.90,16.68,6.58,18.98,21.63,4.43,16.42
1973,14.05,14.91,16.34,9.70,21.51,10.00,17.03,19.89,17.63,22.48,9.30,15.33,14.30,11.17,20.11,9.05,12.02,15.82,8.96,16.31,6.85,18.47,20.87,3.99,16.02
1974,14.08,15.00,16.47,9.54,21.77,9.97,17.39,19.99,17.74,22.46,8.59,15.37,14.26,11.10,19.75,8.84,12.04,15.68,8.76,16.23,6.96,18.68,21.05,4.32,16.00
1975,14.26,15.35,16.70,9.32,21.85,10.15,17.49,19.95,17.93,22.64,8.71,15.66,14.33,11.07,19.92,8.89,12.37,15.81,8.72,16.62,7.17,18.82,21.61,4.42,16.30
1976,13.69,14.44,16.01,9.16,21.64,9.31,16.84,19.61,17.43,22.36,8.26,14.91,14.01,10.95,19.34,8.81,11.61,15.39,8.49,16.10,6.36,18.26,20.98,3.92,15.80
1977,14.76,15.51,16.87,10.51,22.51,10.40,17.96,20.82,18.32,23.62,9.44,16.27,15.25,12.31,21.18,9.87,12.85,16.49,10.00,17.53,6.68,19.16,21.69,4.21,16.64
1978,14.69,15.25,16.63,10.23,22.39,10.98,17.42,20.42,17.87,23.58,9.11,15.87,14.85,11.89,20.71,10.00,12.83,16.53,9.57,16.88,7.72,18.84,21.62,4.95,16.55
1979,14.47,15.43,16.64,9.71,21.84,11.06,17.16,20.01,18.01,22.61,9.01,15.85,14.21,11.38,19.89,9.79,13.01,15.82,9.18,16.30,7.75,18.70,21.02,5.06,15.96
1980,14.68,15.91,17.26,9.87,22.09,10.71,17.93,20.65,18.65,22.74,9.40,16.47,14.58,11.78,20.36,9.70,12.95,16.09,8.67,17.20,7.07,19.32,21.41,4.70,16.40
1981,14.61,15.55,16.82,10.16,21.70,10.79,17.55,20.60,18.40,22.75,9.32,16.03,14.84,11.78,20.52,9.82,12.76,15.91,9.44,16.94,7.49,19.11,21.10,5.00,16.42
1982,14.63,15.61,17.09,10.35,22.03,10.26,17.87,20.91,18.61,22.68,9.46,15.95,15.19,11.78,20.69,9.71,12.53,16.08,9.42,17.07,7.10,19.34,21.67,4.91,16.52
1983,14.31,15.09,16.58,9.00,21.56,11.13,17.22,20.08,17.90,22.09,9.35,15.51,14.15,10.98,19.96,9.52,12.68,15.50,8.36,16.41,8.14,18.58,21.01,5.15,15.89
1984,13.70,14.64,16.28,9.29,21.45,9.36,16.86,20.21,17.68,22.50,8.91,14.65,14.03,10.44,20.56,8.57,11.37,15.36,8.23,15.77,6.53,18.48,20.63,4.44,15.75
1985,14.64,15.43,16.97,10.08,22.00,10.92,17.68,21.14,18.63,22.74,9.15,15.70,14.65,11.59,20.95,9.98,12.80,15.87,9.27,16.49,7.91,19.29,21.12,4.55,16.35
1986,14.66,15.23,16.94,10.12,22.33,10.31,18.03,21.20,18.76,23.16,9.38,15.73,15.09,11.90,20.90,9.77,12.57,16.30,9.34,17.06,7.17,19.57,21.96,3.64,16.79
1987,14.46,15.31,16.80,9.04,21.32,11.06,17.45,20.15,18.16,22.27,9.09,15.91,14.40,11.53,20.08,10.17,13.00,15.65,8.56,16.77,7.94,18.77,21.13,4.33,16.13
1988,14.27,14.70,16.02,9.97,21.77,10.54,17.18,19.81,17.59,22.49,9.48,15.48,14.50,11.43,20.18,9.32,12.28,16.05,9.03,16.74,7.63,18.53,21.29,4.38,15.99
1989,14.92,15.78,17.16,9.82,22.00,11.26,18.09,20.30,18.68,22.39,9.06,16.37,14.98,12.26,19.76,10.18,13.43,16.21,9.30,17.44,7.99,19.32,22.14,4.74,16.76
1990,14.55,15.16,16.64,9.89,21.74,10.90,17.47,20.11,18.05,22.63,9.32,16.00,14.64,11.78,19.94,9.79,12.78,16.04,9.38,16.82,7.97,18.83,21.17,4.45,16.26
1991,14.27,15.12,16.62,10.16,21.70,10.02,17.25,20.61,18.16,22.84,9.51,15.46,14.73,11.44,20.86,9.37,12.24,15.95,9.12,16.47,6.82,18.85,20.92,4.24,16.27
1992,13.80,14.88,16.52,9.09,21.03,9.74,16.96,19.97,17.76,21.92,8.65,15.06,13.85,10.94,19.98,8.95,11.64,15.34,8.28,16.15,6.81,18.36,20.41,4.47,15.74
1993,14.28,15.05,16.50,9.92,21.51,10.55,16.98,20.10,17.82,22.73,9.00,15.52,14.56,11.31,20.11,9.25,12.25,15.84,9.04,16.54,7.85,18.45,20.77,5.30,16.02
1994,14.91,15.45,16.86,11.01,22.30,10.86,17.87,20.84,18.67,23.34,9.96,16.35,15.57,12.16,20.85,9.98,12.87,16.71,9.94,17.32,7.19,19.39,22.07,5.10,16.85
1995,14.56,14.89,16.27,10.53,21.94,10.41,17.61,20.39,18.07,23.07,9.86,16.18,15.08,11.93,20.73,9.78,12.47,16.54,9.53,17.26,7.08,18.86,21.66,4.66,16.51
1996,14.57,15.31,16.88,9.90,21.54,10.75,17.83,20.22,18.54,22.38,9.37,16.12,14.54,11.85,20.09,9.63,12.54,16.08,8.99,17.24,7.81,19.06,21.26,5.38,16.26
1997,14.89,15.50,17.12,10.34,23.11,10.41,18.31,21.18,19.08,23.81,9.96,16.16,15.17,12.02,20.86,9.80,12.52,16.90,9.44,17.47,6.89,19.88,22.39,4.56,17.21
1998,14.64,15.24,16.61,9.94,21.44,11.56,17.27,20.09,17.83,22.24,10.08,15.87,14.33,11.73,20.25,10.01,12.96,16.21,9.02,16.57,8.70,18.55,21.21,6.05,16.20
