Variable:,tas
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
1970,19.64,25.05,25.03,16.01,16.39,15.61,7.18,6.63,24.24,18.26
1971,18.86,24.26,24.23,15.26,15.75,14.95,6.82,6.22,23.25,17.49
1972,19.79,25.13,25.23,16.37,16.53,15.58,7.62,7.06,24.25,18.68
1973,19.71,24.81,24.92,16.11,16.51,15.63,7.97,7.21,24.21,18.32
1974,19.12,24.53,24.52,15.91,16.03,15.19,7.02,6.44,23.38,18.34
1975,19.30,24.71,24.68,16.02,16.08,15.39,7.40,6.69,23.55,18.57
1976,19.10,24.82,24.59,15.78,15.98,15.36,7.13,6.37,23.24,18.16
1977,19.76,24.90,25.04,16.61,16.67,15.77,8.06,7.44,23.96,19.09
1978,19.82,24.92,25.13,16.63,16.62,15.74,7.63,6.98,24.31,19.23
1979,19.66,25.11,25.16,16.11,16.48,15.75,7.98,7.28,23.81,18.37
1980,19.77,25.13,25.00,16.68,16.78,15.95,8.45,7.66,23.80,18.85
1981,19.55,25.01,24.97,16.41,16.60,15.71,7.77,7.27,23.58,18.62
1982,19.74,25.21,25.20,16.57,16.84,15.89,7.97,7.46,23.74,18.77
1983,19.82,25.27,25.09,16.45,16.95,16.25,9.13,8.10,23.58,18.42
1984,19.55,24.93,25.08,16.13,16.58,15.61,7.56,6.83,23.82,18.15
1985,19.59,24.81,24.94,16.29,16.62,15.64,7.50,6.98,23.94,18.50
1986,19.71,24.95,25.11,16.49,16.60,15.60,7.58,7.10,24.06,18.91
1987,19.99,25.43,25.39,16.57,17.01,16.11,8.23,7.43,24.21,18.55
1988,19.83,25.28,25.20,16.36,16.89,16.08,8.50,7.67,23.84,18.51
1989,19.67,24.89,25.02,16.32,16.75,15.84,8.19,7.17,23.83,18.69
1990,19.68,24.97,24.94,16.57,16.77,15.80,8.14,7.45,23.78,18.81
1991,19.95,25.18,25.24,16.72,16.99,16.08,8.41,7.72,24.09,18.78
1992,19.44,25.02,24.79,16.11,16.57,15.86,8.01,7.03,23.42,18.27
1993,19.80,24.84,24.95,16.43,16.69,15.89,8.10,7.23,24.23,18.59
1994,20.34,25.38,25.50,16.95,17.21,16.27,8.84,8.09,24.68,19.33
1995,20.20,25.43,25.41,16.78,17.04,16.25,9.04,8.13,24.38,19.01
1996,19.73,25.14,25.08,16.10,16.56,15.85,8.38,7.55,23.89,18.35
1997,20.27,25.65,25.55,16.99,17.16,16.25,8.51,7.82,24.55,19.26
1998,20.25,25.79,25.44,16.62,17.29,16.62,9.66,8.64,24.07,18.46
1999,19.79,25.07,25.13,15.95,16.61,15.91,8.34,7.41,24.11,18.00
2000,19.78,24.87,25.05,16.43,16.81,15.91,8.46,7.68,23.90,18.49
2001,20.06,25.32,25.34,16.67,16.99,16.10,8.41,7.70,24.33,19.01
2002,20.58,25.85,25.88,17.21,17.43,16.51,9.01,7.95,24.95,19.47
2003,20.26,25.45,25.52,16.97,17.14,16.31,9.05,8.28,24.34,19.30
2004,20.18,25.19,25.44,16.76,17.18,16.38,8.88,7.94,24.36,18.96
2005,20.26,25.74,25.64,16.74,17.27,16.62,8.86,8.01,24.27,18.83
2006,20.45,25.67,25.69,17.15,17.32,16.61,8.97,8.36,24.60,19.37
2007,20.32,25.56,25.49,16.91,17.28,16.53,9.22,8.36,24.42,18.85
2008,20.15,25.46,25.52,16.47,17.05,16.35,8.63,7.71,24.36,18.79
2009,20.47,25.72,25.62,17.19,17.32,16.62,8.89,8.12,24.74,19.54
2010,20.79,26.26,26.00,17.23,17.72,17.03,9.81,8.91,24.80,19.24
2011,20.58,26.28,25.91,17.15,17.42,16.63,8.94,8.11,24.81,19.24
2012,20.56,25.81,25.81,17.36,17.50,16.60,8.85,8.27,24.76,19.68
2013,20.30,25.53,25.53,16.98,17.41,16.62,8.92,7.99,24.39,19.39
2014,20.57,25.54,25.71,17.36,17.67,16.83,9.39,8.44,24.68,19.61
2015,20.99,26.09,26.24,17.69,17.96,17.09,9.31,8.59,25.28,19.88
2016,20.70,25.93,25.89,17.30,17.86,17.13,9.92,8.99,24.55,19.27
2017,20.75,25.80,25.89,17.67,17.73,16.90,9.39,8.59,24.89,19.90
2018,20.31,25.36,25.43,17.14,17.31,16.51,9.04,8.35,24.39,19.26
2019,20.90,25.80,25.95,17.39,17.79,16.91,9.59,8.89,25.24,19.49
2020,21.14,26.03,26.36,17.74,18.00,17.29,9.70,8.78,25.45,20.02
