Variable:,tas
,Brazil,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,"Distrito Federal","Espirito Santo",Goias,Maranhao,"Mato Grosso","Mato Grosso Do Sul","Minas Gerais",Para,Paraiba,Parana,Pernambuco,Piaui,"Rio De Janeiro","Rio Grande Do Norte","Rio Grande Do Sul",Rondonia,Roraima,"Santa Catarina","Sao Paulo",Sergipe,Tocantins,"Name Unknown","Name Unknown","Name Unknown","Name Unknown"
1970,24.46,24.76,24.86,25.43,25.37,23.70,26.87,21.49,22.33,23.87,26.29,25.12,24.32,21.97,25.64,25.93,19.65,25.08,26.70,21.64,27.20,18.59,25.02,24.80,17.76,21.72,24.89,26.15,26.15,23.61,23.61,23.61
1971,23.95,23.99,25.11,25.10,24.75,24.00,25.94,21.15,22.57,23.31,25.65,24.36,23.62,21.91,24.88,25.63,19.27,25.06,26.06,21.76,26.57,18.15,24.40,24.44,17.36,21.48,25.20,25.55,25.55,23.72,23.72,23.72
1972,24.45,25.03,25.69,25.38,25.23,24.53,26.65,21.62,23.01,23.75,26.08,25.05,24.10,22.16,25.47,26.27,19.47,25.79,26.77,21.97,27.24,18.48,25.00,24.76,17.65,21.54,25.84,26.11,26.11,24.12,24.12,24.12
1973,24.52,24.61,25.80,25.34,25.35,24.65,26.26,22.04,23.21,24.17,25.97,25.28,24.39,22.54,25.26,26.02,19.68,25.44,26.32,22.23,26.94,18.37,25.06,25.03,17.64,21.94,25.98,26.17,26.17,24.33,24.33,24.33
1974,23.88,24.35,24.83,24.81,24.91,23.61,25.53,21.23,22.69,23.49,25.32,24.48,23.61,21.92,24.68,24.90,19.07,24.38,25.35,21.80,25.85,18.21,24.52,24.45,17.34,21.44,24.97,25.33,25.33,23.95,23.95,23.95
1975,24.00,24.28,24.99,24.74,24.92,23.67,25.71,21.29,22.40,23.60,25.58,24.66,23.87,21.86,24.86,25.42,19.44,24.79,25.73,21.55,26.52,18.29,24.72,24.49,17.36,21.70,25.07,25.48,25.48,23.39,23.39,23.39
1976,24.05,24.49,25.01,24.95,25.07,24.05,26.26,21.33,22.74,23.35,25.79,24.42,23.05,22.06,25.19,25.68,18.84,25.10,26.53,21.68,26.66,17.81,24.59,24.59,17.00,20.95,25.19,25.51,25.51,23.53,23.53,23.53
1977,24.37,24.50,25.12,25.14,25.28,23.86,26.04,21.61,22.77,23.80,25.91,24.74,24.22,22.28,25.25,25.61,20.40,24.99,26.38,22.29,26.75,19.30,24.82,25.10,18.45,22.34,25.24,25.69,25.69,23.78,23.78,23.78
1978,24.19,24.41,24.91,25.12,25.27,23.22,26.29,21.27,22.32,23.53,25.98,24.75,24.19,21.59,25.23,25.69,19.94,24.74,26.11,21.70,26.89,18.64,24.93,24.93,17.68,21.62,24.91,25.71,25.71,23.59,23.59,23.59
1979,24.24,24.75,25.10,25.34,25.53,23.40,26.98,21.21,22.18,23.47,26.14,24.78,23.67,21.43,25.41,25.95,19.14,25.02,26.42,21.31,27.26,17.98,25.11,25.11,16.90,21.28,25.15,25.69,25.69,23.67,23.67,23.67
1980,24.50,24.75,24.98,25.60,25.59,23.62,26.86,21.51,22.58,23.96,26.44,25.11,23.83,21.95,25.61,25.89,19.58,25.01,26.78,21.98,27.06,18.78,25.18,25.25,17.66,21.84,25.08,26.14,26.14,23.74,23.74,23.74
1981,24.38,24.53,24.67,25.66,25.44,23.38,27.08,21.20,22.25,23.59,26.73,24.86,23.79,21.48,25.72,25.60,19.56,24.85,26.85,21.62,26.95,18.85,24.97,24.89,17.67,21.64,24.79,26.05,26.05,23.30,23.30,23.30
