Variable:,tas
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
1970,8.42,11.29,9.29,8.60,4.86,10.52,9.82,10.22,4.34,10.23,8.52,8.44,12.40,8.88,9.41,11.03
1971,8.09,10.93,8.87,8.57,4.33,10.27,9.53,10.11,4.06,10.12,8.37,7.92,12.02,8.46,8.89,10.90
1972,8.62,11.96,9.54,8.79,4.57,10.79,9.76,10.65,4.23,10.57,8.80,8.41,13.30,9.45,9.58,11.29
1973,8.41,11.76,9.04,8.72,4.74,10.28,9.62,9.98,3.90,10.01,8.19,8.32,13.01,9.36,9.28,10.86
1974,8.23,11.28,8.86,8.48,4.63,10.20,9.27,9.97,4.04,9.96,8.29,8.20,12.72,8.85,9.13,10.67
1975,8.16,11.06,8.92,7.88,4.95,10.12,9.05,9.71,4.21,9.84,7.78,8.37,12.51,8.99,9.23,10.54
1976,8.06,10.93,8.89,7.97,4.45,10.21,9.24,9.96,3.93,10.01,8.18,8.09,12.61,8.90,9.08,10.76
1977,8.95,12.26,9.83,9.51,5.01,11.11,10.42,10.89,3.93,10.80,9.22,9.05,13.44,9.67,10.09,11.70
1978,9.04,11.86,10.09,9.31,5.58,11.20,10.16,10.88,4.72,10.92,9.02,9.26,13.04,9.27,10.27,11.48
1979,9.07,11.93,9.88,9.41,5.71,10.82,10.26,10.48,4.94,10.40,8.63,9.38,13.22,9.66,10.32,11.41
1980,8.79,11.86,9.72,8.54,5.30,11.02,9.40,10.64,4.43,10.72,8.43,9.09,13.50,9.78,9.98,11.17
1981,8.85,11.72,9.85,8.83,5.37,11.02,9.82,10.71,4.70,10.75,8.78,9.08,13.01,9.22,10.04,11.33
1982,8.96,12.22,9.90,9.29,4.99,11.04,10.02,10.76,4.55,10.76,8.91,8.98,13.43,9.52,10.06,11.44
1983,8.97,12.04,9.75,8.23,5.69,10.82,9.46,10.29,5.06,10.38,8.17,9.34,14.03,10.44,10.16,11.03
1984,8.26,11.27,9.15,8.05,4.82,10.29,8.94,9.91,4.22,9.97,7.99,8.53,12.82,9.11,9.45,10.45
1985,8.83,11.63,9.94,8.81,5.65,11.00,9.65,10.34,4.72,10.52,8.49,9.16,12.85,9.14,10.17,11.06
1986,8.58,11.81,9.61,8.52,4.83,10.85,9.77,10.69,3.89,10.60,8.85,8.66,13.08,9.26,9.79,11.39
1987,8.96,11.82,10.19,8.05,5.83,11.34,9.49,10.82,4.69,10.99,8.73,9.44,13.68,10.00,10.43,11.33
1988,8.70,12.07,9.39,8.68,5.18,10.61,9.49,10.10,4.56,10.17,8.23,8.68,13.20,9.67,9.56,10.87
1989,8.79,11.77,9.87,8.22,5.34,11.17,9.41,10.71,4.68,10.89,8.92,9.07,13.15,9.54,10.04,11.23
1990,8.76,11.92,9.58,8.78,5.16,10.73,9.78,10.32,4.51,10.42,8.50,8.72,13.44,9.70,9.75,11.08
1991,8.60,12.05,9.46,8.84,4.43,10.70,9.68,10.56,4.05,10.49,8.72,8.38,13.43,9.77,9.53,11.23
1992,8.42,11.45,9.21,7.96,4.81,10.47,9.10,10.34,4.36,10.28,8.36,8.41,13.38,9.82,9.42,10.89
1993,8.87,11.88,9.58,8.95,5.26,10.83,9.64,10.60,4.95,10.52,8.73,8.85,13.36,9.74,9.79,11.12
1994,9.16,12.43,9.99,9.70,5.13,11.13,10.35,11.06,4.67,10.99,9.16,9.06,13.56,10.01,10.20,11.61
1995,8.94,12.52,9.52,9.43,4.78,10.77,10.07,10.66,4.39,10.63,8.84,8.69,13.74,10.30,9.66,11.25
1996,8.81,11.96,9.66,8.92,4.85,10.96,9.55,10.61,4.81,10.66,8.82,8.72,13.27,9.68,9.80,11.11
1997,9.15,12.76,10.08,9.19,4.95,11.32,10.20,11.28,4.24,11.13,9.41,9.11,14.19,10.36,10.20,11.82
1998,9.56,12.80,10.03,9.08,6.37,11.16,9.95,10.97,5.58,10.94,9.05,9.74,14.40,11.05,10.42,11.44
1999,8.98,12.04,10.06,8.74,5.41,11.22,9.56,10.74,4.91,10.86,8.82,9.13,13.39,9.89,10.17,10.99
2000,8.50,11.87,9.27,8.35,4.54,10.58,9.19,10.49,4.16,10.41,8.58,8.51,13.37,9.84,9.45,10.91
2001,8.84,12.45,9.71,9.10,4.66,11.01,9.61,10.74,4.14,10.81,8.84,8.80,13.68,10.06,9.82,11.15
2002,8.64,12.29,9.32,8.49,4.67,10.43,9.37,10.32,3.98,10.22,8.48,8.72,14.04,10.40,9.67,10.96
2003,9.28,12.88,9.62,9.58,5.39,10.96,10.25,10.88,4.92,10.86,9.17,9.02,14.09,10.50,9.84,11.45
2004,9.34,12.50,10.05,9.19,6.10,11.26,9.62,10.63,5.37,10.86,8.65,9.51,13.82,10.24,10.25,10.99
2005,8.89,12.22,9.52,8.64,5.36,10.91,9.26,10.64,4.70,10.74,8.59,8.83,13.71,10.31,9.66,10.91
