Variable:,tas
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1970,23.48,24.95,22.08,24.63,27.09,25.70,15.65,18.21,19.19,24.21,25.34,18.21,24.98,25.63,26.19,17.58,24.74,25.34,24.55,18.38,25.38,24.28,20.11,20.75,23.60,16.52,19.17,26.40,21.13,26.98,19.45,19.81,24.56,25.40
1971,22.91,24.31,21.44,24.32,26.68,25.24,15.04,17.65,18.45,23.50,24.91,17.65,24.73,25.11,25.61,16.97,24.13,24.95,23.90,17.71,25.00,23.72,19.63,20.24,22.87,15.87,18.56,26.08,20.58,26.48,18.66,19.25,23.96,24.95
1972,23.46,24.74,22.34,24.26,27.56,26.10,15.50,18.44,19.30,24.04,24.97,18.44,25.72,26.06,26.40,17.64,24.57,25.63,24.25,18.46,26.08,23.94,20.42,20.89,23.47,16.66,19.38,26.40,21.38,27.28,19.71,20.13,24.35,25.19
1973,23.59,24.92,22.20,24.83,27.13,25.85,15.75,18.37,19.36,24.17,25.62,18.37,25.27,25.80,26.38,17.77,24.77,25.29,24.54,18.64,25.66,24.40,20.21,20.91,23.48,16.64,19.31,26.41,21.27,27.20,19.73,19.98,24.59,25.64
1974,23.12,24.55,21.66,24.27,26.71,25.33,15.11,17.89,18.75,23.77,25.01,17.89,24.76,25.38,25.79,17.20,24.42,24.65,24.19,18.04,25.10,23.97,19.70,19.96,23.01,16.22,18.89,25.97,20.69,26.61,19.14,19.56,24.22,25.30
1975,23.03,24.42,21.53,24.28,26.53,25.24,14.98,17.76,18.66,23.69,24.86,17.76,24.67,25.22,25.75,17.06,24.38,24.82,24.10,17.97,24.96,23.86,19.65,20.03,23.00,16.09,18.75,25.92,20.59,26.60,19.04,19.42,24.10,25.21
1976,23.22,24.56,22.04,24.10,27.04,25.69,15.10,18.07,19.10,23.75,24.81,18.07,25.27,25.69,26.11,17.33,24.51,25.20,24.08,18.10,25.65,23.77,20.02,20.33,23.12,16.44,19.08,26.08,20.97,27.01,19.44,19.77,24.22,25.25
1977,23.58,24.85,22.28,24.67,27.27,26.02,15.51,18.51,19.38,24.19,25.25,18.51,25.66,25.83,26.50,17.66,24.81,25.61,24.41,18.76,25.98,24.13,20.43,21.09,23.76,16.61,19.29,26.33,21.28,27.37,19.96,20.03,24.50,25.51
1978,23.52,24.88,21.95,24.67,27.06,25.67,15.39,18.44,19.01,24.32,25.20,18.44,25.15,25.68,26.10,17.37,24.93,25.69,24.59,18.61,25.46,24.18,20.39,20.97,23.83,16.44,19.05,26.33,21.05,26.97,19.52,19.88,24.61,25.58
1979,23.62,25.07,22.08,24.71,27.10,25.91,15.51,18.40,19.12,24.32,25.34,18.40,25.31,25.76,26.23,17.53,25.07,25.45,24.72,18.47,25.61,24.36,20.37,20.70,23.66,16.53,19.19,26.44,21.19,27.20,19.55,19.94,24.77,25.79
1980,23.85,25.11,22.49,24.83,27.42,26.21,15.79,18.59,19.62,24.48,25.60,18.59,25.74,25.95,26.59,18.01,25.17,25.71,24.89,18.98,26.05,24.64,20.57,21.11,23.88,16.79,19.42,26.53,21.58,27.50,20.31,20.16,24.83,25.88
1981,23.52,24.99,21.95,24.59,27.10,25.59,15.45,18.45,19.06,24.32,25.20,18.45,24.98,25.70,26.05,17.54,24.89,25.40,24.56,18.73,25.38,24.21,20.38,20.58,23.80,16.50,19.14,26.36,20.94,26.89,19.61,19.89,24.61,25.63
1982,23.44,24.89,22.00,24.29,27.13,25.63,15.32,18.49,19.09,24.09,25.07,18.49,25.21,25.86,25.97,17.50,24.75,25.34,24.32,18.54,25.58,24.02,20.54,20.51,23.55,16.58,19.19,26.38,21.02,26.86,19.63,20.01,24.51,25.47
