Variable:,tas
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
1970,22.66,22.75,17.39,25.22,22.42,22.18,22.83,20.74
1971,22.31,22.48,16.90,25.02,22.10,21.79,22.40,20.26
1972,22.90,22.93,17.44,25.72,22.47,22.19,23.16,21.00
1973,22.77,22.83,17.46,25.39,22.43,22.21,22.98,20.88
1974,22.32,22.36,16.96,25.05,21.96,21.74,22.52,20.37
1975,22.46,22.73,17.12,25.19,22.29,21.86,22.48,20.42
1976,22.54,22.60,17.05,25.34,22.12,21.79,22.81,20.66
1977,22.99,23.07,17.68,25.76,22.61,22.29,23.18,21.07
1978,22.86,23.07,17.61,25.54,22.63,22.29,22.92,20.89
1979,22.85,22.97,17.46,25.50,22.57,22.29,23.04,20.91
1980,23.05,23.13,17.74,25.73,22.70,22.43,23.26,21.11
1981,22.82,22.90,17.61,25.42,22.55,22.32,22.97,20.89
1982,23.12,23.24,17.72,25.96,22.76,22.38,23.28,21.21
1983,23.51,23.59,18.15,26.33,23.06,22.73,23.74,21.62
1984,22.66,22.86,17.34,25.43,22.40,22.03,22.72,20.66
1985,22.54,22.65,17.15,25.32,22.19,21.86,22.74,20.60
1986,22.72,22.76,17.32,25.55,22.26,21.95,23.00,20.84
1987,23.62,23.72,18.30,26.55,23.14,22.79,23.81,21.72
1988,23.03,23.25,17.75,25.77,22.77,22.38,23.09,21.06
1989,22.77,22.90,17.34,25.60,22.38,22.01,22.94,20.85
1990,23.18,23.29,17.75,26.05,22.78,22.41,23.36,21.25
1991,23.09,23.19,17.57,26.01,22.66,22.29,23.31,21.14
1992,23.14,23.22,17.66,25.98,22.69,22.34,23.41,21.24
1993,22.94,23.03,17.46,25.78,22.55,22.27,23.12,20.96
1994,23.08,23.23,17.57,26.06,22.69,22.29,23.21,21.08
1995,22.97,23.15,17.60,25.64,22.71,22.43,23.08,20.98
1996,22.64,22.75,17.22,25.36,22.31,22.04,22.82,20.67
1997,23.08,23.03,17.43,25.92,22.50,22.25,23.50,21.26
1998,23.40,23.40,17.96,26.08,22.88,22.69,23.78,21.58
1999,22.30,22.36,16.84,24.95,21.94,21.78,22.54,20.36
2000,22.54,22.59,16.99,25.41,22.10,21.83,22.79,20.62
2001,22.80,22.85,17.24,25.68,22.31,22.01,23.10,20.91
2002,23.25,23.31,17.75,26.09,22.82,22.46,23.53,21.39
2003,23.24,23.34,17.86,25.97,22.86,22.57,23.45,21.34
2004,23.20,23.22,17.82,25.98,22.77,22.51,23.46,21.35
2005,23.29,23.46,17.99,25.93,23.07,22.77,23.39,21.32
2006,23.21,23.28,17.82,25.96,22.85,22.55,23.41,21.29
2007,23.19,23.33,17.86,25.87,22.94,22.64,23.31,21.22
2008,22.97,23.18,17.54,25.74,22.78,22.38,23.02,20.95
2009,23.31,23.39,17.84,26.11,22.91,22.55,23.55,21.45
2010,23.41,23.56,18.16,25.96,23.18,22.89,23.54,21.51
2011,23.07,23.26,17.71,25.80,22.87,22.52,23.13,21.08
2012,23.17,23.26,17.69,25.96,22.81,22.48,23.39,21.26
2013,23.32,23.45,17.90,26.13,23.01,22.65,23.45,21.35
2014,23.43,23.52,17.92,26.34,23.02,22.65,23.64,21.50
2015,23.69,23.67,18.10,26.71,23.11,22.79,24.01,21.81
2016,23.67,23.72,18.31,26.39,23.26,22.98,23.94,21.82
2017,23.40,23.54,18.00,25.98,23.14,22.84,23.60,21.48
2018,23.23,23.33,17.69,26.05,22.87,22.53,23.44,21.29
2019,23.60,23.74,18.08,26.37,23.24,22.87,23.82,21.68
2020,23.57,23.74,18.17,26.22,23.33,23.00,23.72,21.60
