Variable:,tas
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
1970,20.20,13.78,17.74,13.31,14.15,9.13,12.82,20.22,23.60,22.10,14.50,18.25,22.26,24.30,19.56,15.32,24.44,24.12,22.74,10.50,16.78,22.89,23.47,14.19,23.56,21.44
1971,19.69,13.31,17.45,12.99,13.72,8.65,12.37,19.89,23.11,22.15,14.02,17.63,21.89,23.89,19.04,14.87,23.70,23.43,22.04,10.12,16.34,22.40,23.19,13.72,23.35,20.98
1972,20.54,14.38,18.50,13.88,14.38,9.52,13.26,21.30,23.86,24.10,14.82,19.01,23.01,24.88,19.66,15.35,24.35,24.07,22.62,10.68,17.03,23.35,24.57,14.45,25.25,21.79
1973,20.12,13.80,17.83,13.44,14.32,9.16,12.88,20.17,23.41,22.36,14.60,17.96,22.26,23.95,19.49,15.38,24.31,23.97,22.62,10.59,16.80,22.75,23.43,14.22,23.50,21.27
1974,19.48,13.01,17.06,12.59,13.66,8.24,12.07,19.62,22.93,22.46,13.90,17.35,21.55,23.53,18.69,14.59,23.73,23.33,22.05,9.68,16.02,22.10,22.91,13.49,23.19,20.65
1975,19.67,13.35,17.34,12.93,13.69,8.61,12.29,20.02,23.06,22.12,13.99,17.84,21.85,23.66,18.99,14.79,23.78,23.41,22.11,9.94,16.40,22.34,23.15,13.66,23.35,20.83
1976,20.04,13.71,17.84,13.25,13.98,8.92,12.78,20.54,23.52,23.34,14.37,18.12,22.42,24.26,19.20,14.99,24.02,23.72,22.27,10.18,16.45,22.87,23.81,14.05,24.15,21.35
1977,20.65,14.33,18.39,13.83,14.37,9.87,13.36,20.77,23.96,22.82,14.97,18.74,23.07,24.83,19.97,15.63,24.73,24.46,23.00,10.89,17.03,23.68,24.17,14.66,24.17,22.13
1978,20.60,14.35,18.24,13.82,14.44,9.75,13.27,20.65,23.79,22.32,14.83,18.77,22.76,24.55,20.06,15.69,24.78,24.53,23.03,10.94,17.31,23.25,23.95,14.52,24.06,21.77
1979,20.61,14.41,18.32,13.88,14.48,9.75,13.30,20.90,23.88,22.95,14.85,19.06,22.87,24.77,19.87,15.56,24.60,24.34,22.85,10.92,17.39,23.30,24.21,14.56,24.42,21.78
1980,20.78,14.55,18.47,14.04,14.65,9.99,13.49,21.04,23.96,23.03,15.10,19.09,22.92,24.81,20.14,15.75,24.85,24.64,23.10,11.05,17.27,23.38,24.27,14.78,24.54,21.94
1981,20.59,14.23,18.28,13.87,14.62,9.77,13.33,20.59,23.70,22.56,14.93,18.65,22.81,24.53,20.00,15.76,24.72,24.46,23.02,11.07,17.34,23.28,24.00,14.62,23.97,21.72
1982,20.73,14.51,18.65,14.14,14.64,9.84,13.53,21.26,23.99,23.96,15.09,19.04,23.13,25.05,20.00,15.66,24.52,24.34,22.79,10.99,17.25,23.52,24.55,14.75,25.00,21.98
1983,20.95,14.83,18.81,14.34,14.77,9.99,13.59,21.77,24.23,24.68,15.20,19.32,23.31,25.07,20.14,15.78,24.81,24.56,23.08,11.09,17.71,23.73,24.80,14.84,25.39,22.18
