Variable:,tas
,Guatemala,Guatemala,"El Progreso",Sacatepéquez,Chimaltenango,Escuintla,"Santa Rosa",Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,"San Marcos",Huehuetenango,Quiché,"Baja Verapaz","Alta Verapaz",Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
1970,21.96,19.76,20.57,18.84,17.73,24.69,22.42,15.93,15.44,19.01,24.17,25.15,19.15,16.81,18.03,18.17,21.52,24.58,23.77,21.68,20.52,20.71,22.79
1971,22.03,19.53,20.52,18.53,17.43,24.32,22.12,15.58,15.16,18.56,23.78,24.76,18.82,16.71,17.99,18.09,21.64,25.01,23.86,21.75,20.57,20.68,22.71
1972,22.35,20.26,21.17,19.18,18.09,24.89,22.82,16.12,15.64,19.24,24.42,25.49,19.47,17.10,18.35,18.54,21.93,25.00,24.13,22.10,20.97,21.32,23.45
1973,22.34,20.14,21.10,19.14,18.06,24.84,22.50,16.16,15.84,19.28,24.37,25.30,19.48,17.21,18.48,18.63,21.95,24.97,24.15,22.18,21.08,21.27,23.09
1974,21.91,19.61,20.49,18.61,17.54,24.49,22.30,15.71,15.20,18.68,24.04,24.98,18.90,16.62,17.89,18.00,21.47,24.67,23.70,21.61,20.43,20.66,22.83
1975,22.28,19.83,20.81,18.80,17.74,24.45,22.17,15.78,15.38,18.75,24.01,24.93,19.07,17.00,18.28,18.28,21.94,25.31,24.03,21.96,20.73,20.91,22.80
1976,21.65,19.53,20.30,18.58,17.47,24.59,22.31,15.70,15.19,18.95,24.11,25.15,19.11,16.62,17.74,17.81,21.15,24.13,23.40,21.32,20.16,20.42,22.75
1977,22.13,20.15,21.00,19.13,18.06,24.86,22.60,16.15,15.64,19.23,24.43,25.43,19.50,17.04,18.18,18.39,21.63,24.63,23.94,21.93,20.84,21.13,23.35
1978,22.24,20.10,21.01,19.10,18.00,24.86,22.55,16.02,15.68,19.23,24.40,25.34,19.48,17.17,18.35,18.50,21.78,24.82,24.06,22.08,21.01,21.20,23.25
1979,22.20,20.05,20.92,19.09,17.98,24.93,22.77,16.12,15.71,19.24,24.42,25.37,19.36,17.14,18.36,18.54,21.82,24.64,24.21,22.12,21.02,21.09,23.22
1980,22.22,20.12,21.02,19.14,18.04,25.01,22.76,16.17,15.75,19.29,24.51,25.48,19.38,17.08,18.37,18.56,21.87,24.62,24.19,22.15,21.05,21.21,23.32
1981,22.00,19.92,20.80,18.96,17.86,24.74,22.52,16.01,15.56,19.02,24.23,25.19,19.11,16.87,18.23,18.43,21.73,24.35,24.05,21.95,20.81,20.92,23.08
1982,22.35,20.31,21.19,19.30,18.20,25.03,22.88,16.18,15.71,19.21,24.59,25.60,19.36,17.15,18.49,18.72,22.06,24.82,24.33,22.28,21.15,21.29,23.40
1983,22.60,20.44,21.41,19.42,18.28,25.26,22.90,16.24,15.97,19.41,24.67,25.62,19.51,17.36,18.75,19.01,22.32,25.11,24.63,22.58,21.49,21.51,23.62
1984,22.02,19.70,20.62,18.77,17.68,24.54,22.19,15.73,15.40,18.88,24.07,25.07,19.09,16.86,18.20,18.33,21.74,24.63,24.01,21.91,20.73,20.76,22.81
1985,22.13,19.81,20.75,18.79,17.73,24.45,22.20,15.80,15.33,18.81,24.02,25.02,19.03,16.75,18.05,18.24,21.68,25.02,23.97,21.86,20.73,20.88,23.05
1986,22.07,19.87,20.75,18.83,17.73,24.64,22.36,15.79,15.36,18.98,24.20,25.26,19.25,16.80,18.04,18.20,21.58,24.85,23.78,21.73,20.62,20.84,23.00
1987,22.51,20.52,21.31,19.50,18.36,25.42,23.08,16.36,15.95,19.65,24.92,25.89,19.86,17.28,18.47,18.66,21.87,25.14,24.14,22.15,21.08,21.46,23.71
1988,22.50,20.25,21.16,19.28,18.17,25.01,22.76,16.21,15.85,19.33,24.52,25.48,19.60,17.33,18.56,18.72,22.09,25.19,24.38,22.30,21.14,21.30,23.22
