Variable:,tas
,Honduras,Atlantida,Choluteca,Colon,Comayagua,Copan,Cortes,"Francisco Morazan","Gracias A Dios",Intibuca,"Islas De Bahia","La Paz",Lempira,"Name Unknown",Ocotepeque,Olancho,Paraiso,"Santa Barbara",Valle,Yoro
1970,22.91,24.29,25.87,23.82,21.30,20.87,23.66,21.61,25.14,20.85,26.21,21.70,21.02,21.02,21.66,22.45,22.12,21.92,26.13,22.21
1971,23.00,24.41,25.91,23.94,21.47,20.94,23.77,21.83,25.04,20.94,26.18,21.82,21.13,21.13,21.76,22.53,22.23,22.03,26.10,22.45
1972,23.52,24.66,26.82,24.34,21.91,21.28,24.06,22.59,25.44,21.44,26.32,22.52,21.61,21.61,22.24,23.12,22.96,22.38,27.11,22.94
1973,23.44,24.64,26.15,24.45,21.81,21.36,24.05,22.37,25.38,21.25,26.41,22.09,21.42,21.42,22.07,23.14,22.99,22.40,26.24,22.87
1974,22.90,24.29,26.03,23.88,21.30,20.80,23.66,21.78,24.87,20.86,26.01,21.74,21.08,21.08,21.66,22.37,22.23,21.95,26.29,22.39
1975,23.22,24.54,25.97,24.26,21.76,21.11,24.02,22.05,25.17,21.05,26.11,21.93,21.22,21.22,21.84,22.80,22.47,22.32,26.12,22.84
1976,22.75,24.05,26.21,23.68,20.93,20.49,23.35,21.51,24.98,20.57,25.92,21.60,20.75,20.75,21.44,22.33,22.14,21.55,26.44,21.90
1977,23.35,24.46,26.64,24.10,21.72,21.08,23.88,22.38,25.31,21.24,26.23,22.33,21.47,21.47,22.19,23.01,22.97,22.14,26.94,22.58
1978,23.33,24.51,26.18,24.17,21.70,21.31,23.94,22.23,25.33,21.18,26.24,22.10,21.44,21.44,22.14,23.03,22.96,22.23,26.36,22.56
1979,23.42,24.76,26.36,24.35,21.83,21.40,24.21,22.23,25.47,21.37,26.29,22.22,21.52,21.52,22.15,22.95,22.75,22.46,26.60,22.88
1980,23.36,24.76,26.44,24.34,21.78,21.39,24.16,22.07,25.44,21.37,26.47,22.26,21.52,21.52,22.18,22.83,22.62,22.41,26.75,22.75
1981,23.21,24.62,26.12,24.13,21.57,21.21,24.00,22.06,25.24,21.11,26.41,21.93,21.32,21.32,21.95,22.75,22.59,22.23,26.34,22.63
1982,23.48,24.87,26.81,24.31,22.08,21.59,24.32,22.36,25.33,21.56,26.39,22.55,21.73,21.73,22.36,22.88,22.73,22.60,27.01,23.04
1983,23.94,25.18,26.97,24.83,22.47,21.88,24.65,22.92,25.78,21.67,26.78,22.65,21.87,21.87,22.62,23.53,23.49,22.92,27.20,23.56
1984,23.18,24.53,25.94,24.21,21.66,21.17,23.95,21.99,25.12,20.87,26.18,21.83,21.07,21.07,21.76,22.82,22.54,22.23,26.22,22.77
1985,23.25,24.56,26.18,24.18,21.76,21.16,23.97,22.20,25.05,21.11,26.14,22.10,21.34,21.34,22.02,22.87,22.65,22.26,26.41,22.86
1986,22.88,24.26,26.26,23.70,21.39,20.96,23.66,21.78,24.88,20.86,25.98,21.99,21.09,21.09,21.84,22.24,22.15,21.98,26.67,22.29
1987,23.52,24.59,27.13,24.13,21.89,21.36,24.01,22.58,25.57,21.57,26.44,22.70,21.74,21.74,22.41,22.98,23.12,22.35,27.49,22.75
1988,23.57,24.81,26.39,24.53,22.07,21.51,24.34,22.47,25.52,21.39,26.45,22.28,21.61,21.61,22.23,23.16,22.90,22.64,26.53,23.09
1989,23.28,24.63,26.34,24.27,21.74,21.11,24.08,22.19,25.19,21.16,26.21,22.11,21.32,21.32,21.89,22.82,22.64,22.32,26.51,22.84
1990,23.48,24.83,26.88,24.32,21.99,21.28,24.16,22.52,25.38,21.54,26.44,22.68,21.65,21.65,22.19,22.92,22.92,22.40,27.18,22.95
1991,23.73,25.01,26.93,24.74,22.35,21.62,24.46,22.81,25.54,21.63,26.49,22.80,21.79,21.79,22.40,23.14,23.14,22.74,27.21,23.36
1992,23.65,24.73,26.87,24.55,22.10,21.40,24.17,22.73,25.49,21.52,26.36,22.63,21.66,21.66,22.33,23.29,23.17,22.48,27.07,23.08
1993,23.40,24.68,26.44,24.37,21.85,21.47,24.19,22.25,25.42,21.33,26.30,22.23,21.51,21.51,22.19,22.90,22.67,22.54,26.63,22.85
1994,23.67,24.79,26.84,24.59,22.23,21.46,24.30,22.68,25.49,21.67,26.40,22.70,21.88,21.88,22.51,23.21,23.04,22.60,27.07,23.22
1995,23.74,24.99,26.28,24.80,22.14,21.76,24.51,22.46,25.73,21.43,26.68,22.24,21.67,21.67,22.30,23.47,23.06,22.81,26.47,23.24
1996,23.08,24.45,26.01,24.04,21.43,21.05,23.79,21.88,25.18,20.94,26.24,21.79,21.13,21.13,21.78,22.69,22.45,22.05,26.14,22.41
1997,23.67,25.07,26.91,24.55,22.14,21.76,24.56,22.47,25.63,21.71,26.64,22.60,21.96,21.96,22.60,23.07,22.85,22.82,27.20,23.17
1998,24.08,25.30,26.77,25.00,22.65,22.18,24.88,22.94,25.99,21.84,26.88,22.68,22.14,22.14,22.83,23.70,23.42,23.22,26.95,23.70
1999,22.93,24.37,25.71,24.02,21.15,20.81,23.70,21.62,25.20,20.57,26.25,21.42,20.78,20.78,21.43,22.57,22.10,21.85,26.02,22.29
2000,22.95,24.23,26.31,23.79,21.17,20.77,23.57,21.82,25.08,20.81,26.12,21.68,21.01,21.01,21.67,22.54,22.37,21.84,26.47,22.23
2001,23.19,24.41,26.56,24.00,21.35,20.87,23.75,22.13,25.27,20.93,26.21,21.87,21.18,21.18,21.87,22.84,22.73,21.95,26.70,22.50
2002,23.67,24.86,27.12,24.52,21.99,21.39,24.26,22.65,25.71,21.56,26.54,22.53,21.76,21.76,22.40,23.23,23.06,22.49,27.26,22.98
2003,23.78,24.91,26.69,24.76,22.03,21.54,24.35,22.65,25.77,21.39,26.63,22.25,21.61,21.61,22.36,23.59,23.33,22.65,26.78,23.19
2004,23.67,24.86,26.97,24.48,21.86,21.29,24.18,22.74,25.59,21.35,26.48,22.40,21.51,21.51,22.20,23.40,23.35,22.38,27.11,23.04
2005,23.91,25.08,26.65,24.76,22.21,21.80,24.65,22.75,25.97,21.54,26.63,22.41,21.74,21.74,22.43,23.69,23.41,22.90,26.74,23.26
2006,23.75,24.97,26.86,24.64,22.03,21.44,24.39,22.71,25.76,21.43,26.53,22.38,21.56,21.56,22.18,23.46,23.31,22.57,26.96,23.14
2007,23.69,24.99,26.45,24.59,22.04,21.52,24.45,22.48,25.81,21.40,26.69,22.27,21.57,21.57,22.23,23.39,23.00,22.67,26.63,23.15
2008,23.49,24.81,26.30,24.58,21.74,21.33,24.20,22.26,25.56,21.09,26.47,21.92,21.31,21.31,21.95,23.19,22.86,22.46,26.34,23.01
2009,23.76,25.07,26.98,24.59,22.26,21.73,24.60,22.73,25.59,21.64,26.61,22.64,21.87,21.87,22.56,23.26,23.19,22.86,27.25,23.25
2010,23.62,24.98,26.35,24.40,21.99,21.86,24.53,22.38,25.73,21.54,26.64,22.32,21.83,21.83,22.49,23.16,22.92,22.84,26.60,23.06
2011,23.70,25.04,26.41,24.60,22.17,21.93,24.65,22.49,25.64,21.58,26.50,22.30,21.84,21.84,22.55,23.25,22.89,22.96,26.57,23.35
2012,23.62,24.99,26.59,24.46,22.04,21.65,24.48,22.45,25.63,21.48,26.59,22.41,21.82,21.82,22.57,23.12,22.83,22.72,26.94,23.17
2013,23.97,25.22,26.95,24.77,22.51,22.07,24.75,22.94,25.83,21.86,26.71,22.84,22.15,22.15,22.86,23.51,23.30,23.09,27.20,23.53
2014,23.92,25.18,27.26,24.86,22.27,21.78,24.62,22.83,25.84,21.79,26.70,22.80,22.01,22.01,22.74,23.47,23.21,22.82,27.52,23.46
2015,24.33,25.54,27.80,25.06,22.93,22.29,25.06,23.37,26.08,22.45,26.85,23.54,22.69,22.69,23.32,23.77,23.55,23.36,28.12,23.92
2016,24.33,25.45,27.43,25.16,22.77,22.27,24.99,23.28,26.22,22.21,26.93,23.25,22.47,22.47,23.22,23.93,23.76,23.33,27.68,23.83
2017,23.99,25.39,26.90,24.89,22.41,22.14,24.95,22.72,26.04,21.92,26.85,22.73,22.19,22.19,22.92,23.44,23.11,23.21,27.10,23.61
2018,23.82,25.20,27.13,24.66,22.25,21.96,24.68,22.64,25.83,21.84,26.69,22.80,22.16,22.16,22.89,23.18,22.89,23.00,27.41,23.34
2019,24.53,25.68,27.53,25.43,23.10,22.67,25.38,23.41,26.28,22.49,27.08,23.36,22.81,22.81,23.45,24.06,23.79,23.82,27.73,24.24
2020,24.46,25.75,27.12,25.47,22.99,22.60,25.41,23.19,26.41,22.36,27.15,23.12,22.57,22.57,23.21,24.01,23.64,23.81,27.21,24.12
