Variable:,tas
,Mexico,Aguascalientes,"Baja California","Baja California Sur",Campeche,Chiapas,Chihuahua,Coahuila,Colima,"Distrito Federal",Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,"Nuevo Leon",Oaxaca,Puebla,Queretaro,"Quintana Roo","San Luis Potosi",Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
1970,19.83,16.97,19.27,21.95,25.60,21.52,16.54,19.33,23.04,11.65,16.15,16.84,22.45,16.00,19.27,15.01,20.18,21.02,21.32,19.89,20.20,17.70,16.65,25.11,17.95,22.70,21.01,25.08,22.04,13.39,22.87,25.28,16.76
1971,19.90,16.81,18.45,21.28,26.35,21.73,16.54,19.87,22.93,11.40,16.21,16.74,22.14,16.31,19.23,14.71,20.00,20.71,21.35,20.89,20.25,17.74,16.78,25.49,18.33,22.48,20.33,25.91,23.18,13.30,23.49,25.73,16.69
1972,20.22,17.41,19.14,22.02,26.14,22.15,16.80,19.88,23.76,11.63,16.77,17.28,22.76,16.47,19.83,15.04,20.58,20.95,21.94,20.40,20.73,17.86,17.12,25.47,18.37,23.26,21.03,25.81,22.65,13.38,23.44,25.76,17.22
1973,19.59,16.92,18.65,21.11,25.92,21.85,15.69,18.97,23.13,11.68,15.67,17.00,22.19,16.38,19.30,14.92,20.11,20.43,21.22,19.53,20.37,17.67,16.96,25.34,18.09,22.32,20.53,25.50,21.99,13.47,23.20,25.62,16.42
1974,19.89,17.13,19.21,21.68,25.81,21.55,16.39,19.63,23.08,11.18,16.23,17.05,22.23,16.16,19.23,14.62,20.14,20.68,21.35,20.17,20.20,17.56,16.84,25.15,18.27,22.66,20.99,25.45,22.43,13.17,23.26,25.54,16.92
1975,19.76,17.06,18.36,20.91,26.47,22.09,16.08,19.39,22.87,11.45,15.97,17.04,22.22,16.35,19.13,14.75,20.05,20.75,21.19,20.03,20.70,17.83,17.04,25.45,18.21,22.39,20.28,26.18,22.41,13.46,23.73,25.92,16.55
1976,19.42,16.64,19.12,21.81,25.26,21.57,15.38,18.22,23.39,11.38,15.34,16.78,22.59,15.83,19.28,14.78,20.39,20.97,21.42,18.89,20.48,17.51,16.52,24.75,17.44,22.78,20.93,25.11,21.24,13.10,22.92,24.96,16.02
1977,20.14,16.79,19.54,22.41,25.66,22.01,16.69,19.71,23.64,11.62,16.26,17.33,23.03,16.73,19.42,15.15,20.76,21.41,21.43,19.87,20.98,18.16,17.33,24.95,18.31,23.28,21.43,25.56,22.29,13.54,23.64,25.14,16.42
1978,20.06,17.06,19.43,22.19,25.60,21.99,16.45,19.29,23.39,11.72,16.41,17.51,22.98,16.78,19.50,15.18,20.66,21.59,21.54,19.79,20.85,18.31,17.38,25.07,18.34,23.37,21.26,25.41,22.09,13.71,23.58,25.25,16.64
1979,20.11,17.56,19.14,21.71,25.73,21.83,16.31,19.49,23.55,12.20,16.43,17.72,23.39,16.67,19.84,15.70,21.03,21.67,21.68,20.10,21.01,18.29,17.39,25.31,18.30,23.10,21.16,25.26,22.14,13.84,23.49,25.58,17.13
1980,20.48,17.26,19.91,22.50,25.65,21.83,16.78,20.19,23.93,12.35,16.76,17.86,23.89,17.19,19.87,15.91,21.41,22.18,21.93,20.60,21.24,18.66,17.98,25.31,18.90,23.44,21.69,25.42,22.69,14.08,23.77,25.51,17.01
1981,20.12,17.24,19.98,22.26,25.41,21.53,16.40,19.28,23.33,12.32,16.32,17.44,23.36,16.91,19.57,15.66,20.85,21.60,21.74,20.11,20.87,18.34,17.47,25.05,18.27,23.17,21.55,25.03,22.45,13.93,23.57,25.34,16.64
1982,20.53,18.10,18.61,22.07,26.03,22.17,17.04,20.14,23.85,12.60,17.10,18.23,23.77,17.39,20.11,16.06,21.30,22.08,21.97,20.76,21.40,18.75,18.14,25.53,19.14,23.27,21.08,25.80,22.95,14.29,24.01,26.00,17.66
