Variable:,tas
,Nicaragua,"Atlantico Norte","Atlantico Sur",Boaco,Carazo,Chinandega,Chontales,Esteli,Granada,Jinotega,Leon,Madriz,Managua,Masaya,Matagalpa,"Nueva Segovia","Rio San Juan",Rivas
1970,24.79,24.85,24.84,24.73,26.36,27.13,24.75,22.75,26.07,22.71,26.64,22.65,26.77,26.68,23.70,22.31,24.97,25.79
1971,24.65,24.72,24.66,24.62,26.20,27.09,24.59,22.70,25.88,22.58,26.65,22.67,26.70,26.57,23.58,22.32,24.76,25.54
1972,25.18,25.14,24.99,25.25,27.07,28.09,25.09,23.49,26.60,23.11,27.74,23.43,27.59,27.44,24.16,22.96,25.19,26.14
1973,25.00,25.03,24.95,24.98,26.52,27.33,24.95,23.19,26.28,23.04,26.90,23.25,27.01,26.89,23.94,23.02,25.11,25.97
1974,24.51,24.53,24.44,24.49,26.30,27.22,24.47,22.65,25.91,22.38,26.72,22.65,26.69,26.61,23.39,22.27,24.62,25.52
1975,24.74,24.79,24.67,24.79,26.45,27.16,24.72,22.91,25.95,22.75,26.80,22.88,26.87,26.79,23.70,22.55,24.89,25.58
1976,24.72,24.69,24.57,24.83,26.72,27.55,24.63,22.88,26.16,22.59,27.16,22.79,27.16,27.06,23.70,22.34,24.77,25.68
1977,25.19,25.08,25.05,25.39,27.21,27.90,25.19,23.51,26.64,23.10,27.62,23.47,27.67,27.57,24.21,23.05,25.31,26.14
1978,25.12,25.07,25.03,25.31,26.84,27.31,25.11,23.44,26.37,23.25,27.06,23.37,27.30,27.20,24.25,23.13,25.25,25.94
1979,25.11,25.18,25.06,25.12,26.76,27.55,25.04,23.19,26.39,23.11,27.07,23.20,27.18,27.09,24.08,22.93,25.20,26.05
1980,25.10,25.12,25.03,25.14,26.88,27.64,25.08,23.21,26.47,23.02,27.18,23.17,27.28,27.19,24.04,22.80,25.29,26.11
1981,24.88,24.92,24.89,24.88,26.54,27.20,24.86,22.91,26.19,22.84,26.68,22.94,26.93,26.86,23.84,22.62,25.08,25.89
1982,25.09,25.00,24.97,25.20,27.02,27.94,25.10,23.22,26.56,22.93,27.39,23.19,27.43,27.34,24.07,22.72,25.30,26.16
1983,25.63,25.47,25.44,25.87,27.62,28.30,25.70,24.04,27.18,23.60,28.06,23.99,28.14,28.02,24.69,23.60,25.78,26.72
1984,24.86,24.79,24.73,25.04,26.80,27.24,24.89,23.07,26.30,22.87,27.00,23.02,27.19,27.13,23.89,22.74,25.03,25.86
1985,24.76,24.73,24.60,24.85,26.79,27.41,24.69,23.12,26.13,22.73,27.10,23.08,27.15,27.09,23.73,22.72,24.83,25.66
1986,24.75,24.64,24.65,24.85,26.81,27.64,24.74,22.93,26.21,22.56,27.23,22.80,27.23,27.15,23.69,22.29,24.92,25.77
1987,25.75,25.52,25.62,26.12,28.06,28.55,25.86,24.13,27.28,23.49,28.35,23.91,28.48,28.42,24.88,23.28,25.90,26.71
1988,25.27,25.28,25.24,25.41,27.03,27.63,25.25,23.38,26.43,23.29,27.21,23.32,27.37,27.33,24.35,23.03,25.41,26.03
1989,24.90,24.81,24.79,25.03,27.00,27.56,24.91,23.15,26.27,22.81,27.21,23.09,27.35,27.30,23.85,22.68,25.09,25.82
1990,25.22,25.06,25.08,25.34,27.44,28.18,25.22,23.64,26.74,23.04,27.81,23.53,27.77,27.71,24.15,23.02,25.41,26.24
1991,25.30,25.16,25.07,25.48,27.56,28.31,25.27,23.79,26.85,23.14,28.05,23.70,27.97,27.89,24.25,23.18,25.39,26.29
1992,25.35,25.23,25.15,25.55,27.50,28.22,25.31,23.78,26.81,23.23,27.99,23.68,27.97,27.86,24.36,23.17,25.41,26.28
1993,25.11,25.09,25.04,25.15,27.01,27.67,25.13,23.23,26.56,23.01,27.24,23.15,27.35,27.30,24.02,22.75,25.32,26.21
1994,25.27,25.18,25.12,25.39,27.43,28.19,25.26,23.60,26.71,23.05,27.82,23.54,27.81,27.74,24.16,23.02,25.40,26.20
1995,25.34,25.44,25.31,25.35,26.93,27.52,25.29,23.31,26.54,23.44,27.10,23.34,27.30,27.24,24.31,23.21,25.45,26.22
1996,24.91,24.94,24.90,24.92,26.59,27.23,24.91,23.00,26.21,22.90,26.86,22.93,26.98,26.90,23.88,22.64,25.07,25.89
1997,25.23,25.25,25.10,25.15,27.06,28.13,25.19,23.32,26.72,23.08,27.53,23.32,27.46,27.36,24.05,22.91,25.41,26.42
1998,25.67,25.72,25.58,25.69,27.21,28.07,25.64,23.72,26.95,23.74,27.61,23.76,27.70,27.58,24.63,23.58,25.78,26.67
1999,24.65,24.82,24.61,24.57,26.12,26.93,24.57,22.51,25.94,22.70,26.38,22.49,26.53,26.44,23.59,22.32,24.73,25.69
2000,24.84,24.82,24.66,25.01,26.85,27.61,24.83,23.03,26.32,22.70,27.26,22.93,27.33,27.21,23.86,22.52,24.87,25.82
2001,25.10,25.02,24.92,25.29,27.17,27.95,25.09,23.35,26.54,22.99,27.57,23.27,27.61,27.52,24.12,22.92,25.17,26.05
2002,25.50,25.48,25.38,25.60,27.50,28.44,25.42,23.61,26.85,23.34,27.94,23.56,27.86,27.79,24.45,23.13,25.57,26.34
2003,25.56,25.51,25.43,25.73,27.49,28.08,25.50,23.77,26.90,23.61,27.77,23.73,27.97,27.88,24.61,23.51,25.62,26.43
2004,25.39,25.30,25.20,25.57,27.43,28.28,25.27,23.87,26.77,23.33,28.00,23.79,27.94,27.80,24.42,23.37,25.40,26.22
2005,25.65,25.72,25.63,25.71,27.14,27.86,25.54,23.74,26.69,23.86,27.45,23.72,27.57,27.48,24.73,23.57,25.71,26.33
2006,25.48,25.47,25.33,25.63,27.39,28.08,25.39,23.77,26.79,23.48,27.76,23.71,27.87,27.76,24.53,23.36,25.52,26.29
2007,25.48,25.57,25.48,25.57,27.07,27.68,25.41,23.47,26.67,23.52,27.30,23.41,27.48,27.40,24.52,23.20,25.54,26.25
2008,25.24,25.28,25.25,25.31,26.91,27.53,25.17,23.27,26.44,23.29,27.09,23.25,27.24,27.19,24.26,23.03,25.34,26.00
2009,25.46,25.34,25.37,25.69,27.50,28.23,25.44,23.71,26.85,23.31,27.90,23.66,27.90,27.83,24.52,23.23,25.53,26.24
2010,25.53,25.62,25.72,25.55,26.97,27.58,25.49,23.37,26.64,23.50,27.11,23.31,27.32,27.27,24.53,23.09,25.75,26.30
2011,25.31,25.38,25.35,25.38,26.92,27.54,25.25,23.24,26.51,23.35,27.07,23.21,27.29,27.24,24.32,22.99,25.41,26.06
2012,25.32,25.32,25.32,25.46,27.20,27.89,25.33,23.22,26.77,23.12,27.46,23.21,27.58,27.52,24.27,22.90,25.44,26.26
2013,25.56,25.57,25.48,25.67,27.34,28.23,25.47,23.68,26.83,23.48,27.82,23.69,27.81,27.70,24.56,23.34,25.59,26.29
2014,25.66,25.60,25.55,25.80,27.73,28.59,25.59,23.83,27.03,23.48,28.22,23.73,28.17,28.07,24.66,23.26,25.69,26.43
2015,25.93,25.89,25.77,26.10,28.07,29.08,25.82,24.18,27.33,23.72,28.59,24.09,28.50,28.40,24.94,23.54,25.85,26.66
2016,25.98,26.02,25.85,26.07,27.62,28.65,25.85,24.24,27.20,24.02,28.25,24.22,28.21,28.05,25.02,23.87,25.93,26.67
2017,25.63,25.76,25.67,25.60,27.18,28.08,25.51,23.61,26.85,23.55,27.54,23.56,27.62,27.53,24.55,23.21,25.70,26.42
2018,25.53,25.61,25.49,25.58,27.42,28.40,25.42,23.57,26.85,23.31,27.87,23.45,27.77,27.70,24.50,22.94,25.53,26.27
2019,25.96,26.03,25.90,25.96,27.72,28.73,25.83,24.13,27.19,23.87,28.25,24.14,28.17,28.07,24.86,23.71,25.97,26.61
2020,25.90,26.08,25.91,25.83,27.41,28.26,25.75,23.96,27.00,23.96,27.77,23.98,27.80,27.73,24.81,23.69,25.93,26.54
