Variable:,tas
,Panama,Coclé,Colón,"Kuna Yala",Herrera,"Los Santos",Panamá,"Bocas del Toro",Chiriquí,Darién,Emberá,"Ngöbe Buglé",Veraguas
1970,24.50,24.68,25.16,25.73,24.40,25.44,25.51,21.07,23.14,25.08,25.09,22.84,24.90
1971,24.09,24.30,24.80,25.38,23.99,25.03,25.15,20.63,22.70,24.62,24.64,22.41,24.50
1972,24.75,24.94,25.28,25.93,24.80,25.78,25.73,21.07,23.44,25.37,25.37,22.94,25.29
1973,24.67,24.79,25.29,25.88,24.68,25.66,25.67,21.11,23.31,25.31,25.31,22.94,25.08
1974,24.41,24.63,24.99,25.58,24.57,25.50,25.46,20.69,22.97,24.98,24.97,22.61,24.92
1975,24.09,24.15,24.65,25.23,24.19,25.16,25.01,20.62,22.82,24.64,24.63,22.41,24.60
1976,24.37,24.43,24.88,25.53,24.46,25.41,25.31,20.65,23.15,25.03,25.04,22.53,24.88
1977,24.80,24.92,25.30,25.88,25.03,25.89,25.73,21.22,23.59,25.32,25.30,23.05,25.36
1978,24.38,24.53,24.99,25.55,24.30,25.38,25.29,21.15,23.14,24.89,24.89,22.80,24.80
1979,24.50,24.61,25.16,25.70,24.45,25.54,25.45,21.06,23.25,25.11,25.12,22.78,24.92
1980,24.86,24.99,25.42,26.01,24.91,25.92,25.82,21.31,23.60,25.44,25.44,23.12,25.33
1981,24.66,24.86,25.30,25.82,24.73,25.73,25.63,21.22,23.34,25.15,25.14,23.03,25.14
1982,24.62,24.72,25.15,25.73,24.65,25.70,25.51,21.17,23.53,25.11,25.11,22.92,25.17
1983,24.98,25.10,25.46,25.97,25.13,26.11,25.82,21.58,23.96,25.34,25.34,23.37,25.64
1984,24.01,24.22,24.72,25.18,23.93,25.08,24.96,20.80,22.87,24.34,24.36,22.46,24.50
1985,24.12,24.21,24.72,25.18,24.27,25.24,24.99,20.68,23.06,24.52,24.51,22.45,24.72
1986,24.43,24.58,24.94,25.52,24.63,25.61,25.33,20.80,23.34,24.83,24.83,22.71,25.10
1987,25.05,25.19,25.53,26.07,25.23,26.17,25.91,21.61,24.03,25.47,25.45,23.38,25.67
1988,24.52,24.63,25.14,25.60,24.60,25.61,25.41,21.15,23.37,24.97,24.96,22.88,25.04
1989,24.31,24.44,24.86,25.41,24.48,25.40,25.20,20.79,23.20,24.74,24.73,22.59,24.92
1990,24.67,24.80,25.19,25.73,24.85,25.82,25.54,21.18,23.63,25.09,25.07,22.98,25.29
1991,24.66,24.79,25.24,25.81,24.74,25.74,25.60,21.07,23.54,25.15,25.14,22.90,25.22
1992,24.73,24.85,25.22,25.73,24.93,25.88,25.58,21.14,23.68,25.20,25.19,22.99,25.38
1993,24.65,24.85,25.26,25.85,24.72,25.77,25.63,21.11,23.37,25.15,25.14,22.91,25.19
1994,24.62,24.76,25.20,25.75,24.74,25.71,25.56,21.06,23.49,25.07,25.08,22.90,25.21
1995,24.62,24.73,25.30,25.82,24.56,25.68,25.58,21.21,23.31,25.20,25.17,22.92,25.03
1996,24.38,24.58,25.09,25.64,24.43,25.50,25.40,20.84,23.08,24.82,24.84,22.65,24.92
1997,25.08,25.21,25.60,26.27,25.30,26.35,26.08,21.08,23.80,25.68,25.69,23.06,25.74
1998,25.25,25.34,25.81,26.38,25.40,26.43,26.20,21.52,23.98,25.88,25.85,23.38,25.80
1999,24.17,24.30,24.89,25.51,24.09,25.29,25.23,20.59,22.79,24.74,24.75,22.37,24.58
2000,24.34,24.44,24.94,25.61,24.38,25.45,25.35,20.60,23.05,24.95,24.95,22.44,24.87
2001,24.61,24.71,25.19,25.85,24.70,25.75,25.60,20.82,23.34,25.28,25.28,22.68,25.12
2002,25.04,25.06,25.55,26.27,25.12,26.17,26.04,21.20,23.79,25.78,25.78,23.03,25.55
2003,24.96,25.01,25.53,26.14,24.93,25.98,25.92,21.38,23.65,25.69,25.67,23.13,25.36
2004,25.15,25.25,25.69,26.30,25.30,26.22,26.15,21.35,23.80,25.89,25.87,23.24,25.61
2005,25.19,25.35,25.82,26.43,25.18,26.22,26.24,21.59,23.67,25.95,25.93,23.36,25.54
2006,25.08,25.25,25.66,26.30,25.17,26.12,26.12,21.38,23.70,25.71,25.71,23.21,25.54
2007,25.07,25.20,25.71,26.26,25.07,26.07,26.10,21.46,23.62,25.78,25.76,23.25,25.43
2008,24.77,24.96,25.46,26.02,24.78,25.87,25.86,21.10,23.28,25.39,25.39,22.91,25.18
2009,25.26,25.35,25.76,26.44,25.36,26.32,26.31,21.33,23.83,26.08,26.06,23.23,25.70
2010,25.33,25.48,25.96,26.50,25.34,26.40,26.36,21.70,23.79,26.12,26.09,23.49,25.68
2011,24.93,25.11,25.54,26.20,24.93,25.96,26.00,21.30,23.35,25.71,25.70,23.06,25.27
2012,25.15,25.25,25.66,26.36,25.18,26.17,26.21,21.28,23.65,26.05,26.04,23.15,25.53
2013,25.26,25.42,25.84,26.47,25.37,26.30,26.33,21.40,23.72,26.11,26.09,23.26,25.65
2014,25.44,25.55,25.90,26.66,25.60,26.51,26.51,21.45,23.93,26.33,26.31,23.37,25.88
2015,25.83,25.95,26.25,26.98,26.09,27.01,26.90,21.60,24.31,26.77,26.74,23.63,26.32
