Variable:,tas
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1970,18.19,19.44,10.60,7.04,10.53,8.68,15.15,10.50,11.94,6.66,15.06,17.84,12.37,14.17,19.99,11.46,25.03,23.53,9.89,16.26,20.57,8.24,19.95,11.27,23.56,24.27
1971,17.64,18.95,10.27,6.39,9.94,8.11,14.65,9.95,11.34,6.19,14.78,17.37,12.03,13.85,19.76,11.05,24.40,22.79,9.37,15.94,20.18,7.59,19.54,10.83,23.25,23.69
1972,18.48,19.66,11.47,6.92,10.72,8.86,15.63,10.99,11.95,6.98,15.58,18.69,12.80,15.15,22.00,12.50,24.98,23.79,10.15,16.90,22.16,8.03,20.19,11.87,24.86,24.90
1973,18.22,19.46,10.79,6.99,10.61,8.78,15.15,10.62,11.89,6.82,15.29,17.94,12.61,14.30,20.06,11.66,25.00,23.40,10.10,16.51,20.48,8.23,20.02,11.60,23.19,24.35
1974,17.77,18.84,10.24,6.42,10.20,8.23,14.58,10.16,11.36,6.23,14.67,17.66,11.95,13.87,20.10,11.13,24.59,23.06,9.64,15.88,20.30,7.69,19.50,11.23,23.00,23.99
1975,17.64,18.96,10.17,6.38,10.07,8.16,14.80,10.13,11.38,6.15,14.33,17.48,11.74,13.92,20.22,11.04,24.31,23.19,9.67,15.58,20.52,7.83,19.23,11.29,23.33,23.57
1976,17.89,19.15,10.61,6.40,10.23,8.19,15.08,10.63,11.40,6.23,14.49,18.09,11.82,14.47,21.45,11.55,24.58,23.44,9.74,15.70,21.37,7.86,19.49,11.45,23.92,23.88
1977,18.23,19.80,10.79,6.68,10.62,8.57,15.60,10.60,11.65,6.54,14.82,18.26,12.06,14.58,21.08,11.69,25.10,23.43,10.29,15.96,21.24,8.15,20.07,12.05,23.90,24.04
1978,18.14,19.96,10.55,6.60,10.43,8.41,15.58,10.62,11.64,6.40,14.72,18.04,11.99,14.40,20.71,11.41,25.08,23.39,10.01,15.83,21.10,8.08,20.05,11.68,23.86,23.84
1979,18.40,20.03,11.07,7.10,10.88,8.94,15.93,10.99,11.93,6.92,15.10,18.40,12.40,14.86,21.16,11.92,25.17,23.43,10.39,16.16,21.54,8.38,20.26,11.99,24.30,24.15
1980,18.44,20.11,11.03,6.99,10.77,8.69,15.81,11.03,11.88,6.67,15.15,18.37,12.37,14.80,21.20,11.83,25.34,23.46,10.40,16.24,21.55,8.35,20.37,12.13,24.46,24.22
1981,18.16,19.96,10.75,6.74,10.33,8.41,15.62,10.69,11.64,6.46,14.93,18.04,12.09,14.49,20.50,11.48,25.14,23.23,9.89,15.93,20.90,8.13,20.14,11.63,23.88,23.83
1982,18.38,19.94,11.21,6.87,10.72,8.62,15.78,11.00,11.81,6.67,15.19,18.51,12.34,15.01,21.55,11.99,25.12,23.55,10.14,16.25,21.87,8.23,20.33,11.97,24.74,24.16
1983,19.15,20.52,12.60,7.80,11.60,9.61,16.84,12.24,12.57,7.85,16.22,19.63,13.44,16.42,23.29,13.41,25.56,23.79,11.16,17.33,22.89,9.12,21.16,12.96,25.09,24.90
1984,17.96,19.60,10.64,6.44,10.09,8.22,15.35,10.47,11.41,6.32,14.91,17.92,12.07,14.37,20.60,11.39,24.79,23.19,9.73,15.98,20.85,7.85,19.98,11.51,23.40,23.83
1985,17.88,19.29,10.35,6.40,10.12,8.21,14.98,10.34,11.40,6.24,14.76,17.75,11.90,14.07,20.19,11.18,24.83,23.12,9.73,15.87,20.44,7.81,19.84,11.48,22.97,23.77
1986,17.98,19.36,10.82,6.53,10.30,8.32,15.31,10.49,11.48,6.41,14.99,17.89,12.11,14.55,20.65,11.56,24.72,23.15,9.89,16.06,20.90,7.90,19.96,11.65,23.43,23.86
1987,18.73,20.24,11.87,7.31,11.16,9.11,16.37,11.36,12.19,7.29,15.76,18.82,12.82,15.60,22.07,12.61,25.32,23.71,10.69,16.77,21.99,8.63,20.77,12.41,24.42,24.49
1988,18.45,19.99,11.06,7.15,10.66,8.88,15.69,10.93,11.99,7.00,15.54,17.78,12.63,14.58,20.36,11.75,25.27,23.54,10.28,16.60,20.78,8.57,20.55,11.79,23.51,24.53
1989,18.10,19.61,10.65,6.59,10.36,8.37,15.32,10.58,11.55,6.43,15.02,17.80,12.10,14.37,20.49,11.39,24.94,23.32,10.14,16.09,20.69,8.14,20.17,11.83,23.34,24.05
1990,18.27,19.79,11.06,6.96,10.79,8.80,15.76,10.86,11.88,6.82,15.16,18.18,12.42,14.78,20.99,11.83,24.95,23.34,10.32,16.27,21.28,8.27,20.20,11.99,23.94,24.03
1991,18.46,20.00,11.27,7.19,10.86,8.99,15.86,11.27,12.02,7.00,15.35,18.21,12.53,15.02,21.34,11.99,25.15,23.57,10.43,16.41,21.61,8.47,20.40,12.11,24.24,24.24
1992,18.60,20.14,11.54,7.30,11.09,9.07,16.21,11.41,12.09,7.16,15.59,18.63,12.79,15.34,21.83,12.41,25.20,23.54,10.53,16.69,21.82,8.60,20.56,12.24,24.24,24.39
1993,18.37,19.85,11.27,7.03,10.87,8.82,15.78,11.01,11.92,6.95,15.38,18.38,12.59,14.97,21.53,12.11,24.94,23.41,10.45,16.49,21.66,8.44,20.25,12.17,24.20,24.22
1994,18.43,19.72,11.09,7.18,10.87,8.98,15.53,11.12,12.11,7.04,15.42,18.24,12.68,14.70,20.94,11.99,25.00,23.80,10.58,16.60,21.11,8.68,20.28,12.26,23.73,24.47
1995,18.77,19.99,11.58,7.75,11.29,9.50,15.93,11.48,12.47,7.56,15.87,18.37,13.10,15.08,20.79,12.46,25.36,23.86,10.93,16.94,21.07,8.99,20.65,12.39,23.59,24.85
1996,18.30,19.50,10.90,7.20,10.76,8.97,15.29,10.76,12.03,7.09,15.39,17.89,12.62,14.36,19.81,11.85,24.97,23.70,10.30,16.52,20.14,8.45,20.29,11.79,22.85,24.48
1997,18.98,19.82,12.29,7.56,11.43,9.44,16.15,11.82,12.50,7.62,16.16,19.74,13.33,15.98,23.11,13.38,25.27,24.27,10.95,17.35,22.79,8.72,20.79,12.82,24.82,25.16
1998,19.33,20.27,12.61,8.55,12.16,10.27,16.67,12.32,13.13,8.44,16.57,19.41,13.84,16.08,21.90,13.55,25.53,24.32,11.73,17.72,21.94,9.67,21.15,13.23,24.35,25.41
1999,18.23,19.16,10.91,7.12,10.79,8.99,15.17,10.89,12.01,7.05,15.35,18.15,12.63,14.35,20.03,12.00,24.73,23.68,10.52,16.59,20.28,8.46,20.03,11.98,22.76,24.50
2000,18.35,19.39,11.17,7.09,10.68,8.91,15.39,10.99,12.06,7.05,15.67,18.11,12.75,14.69,20.43,11.99,24.92,23.54,10.37,16.77,20.55,8.47,20.38,11.96,22.76,24.59
2001,18.38,19.38,11.16,6.87,10.86,8.81,15.57,10.85,11.95,6.87,15.57,18.18,12.60,14.71,20.37,12.03,24.99,23.71,10.62,16.70,20.55,8.50,20.38,12.20,22.82,24.63
2002,18.67,19.61,11.63,7.03,11.05,9.03,15.94,11.03,12.21,7.17,15.89,18.44,12.92,15.23,21.11,12.44,25.19,24.20,10.86,17.00,21.21,8.70,20.66,12.44,23.60,24.96
2003,18.69,19.70,11.71,7.23,11.22,9.18,15.95,11.15,12.24,7.35,15.98,18.39,13.03,15.19,20.75,12.52,25.22,23.90,11.01,17.11,20.96,8.74,20.71,12.58,23.42,24.94
