Variable:,tas
,"El Salvador",Ahuachapan,Cabanas,Chalatenango,Cuscatlan,"La Libertad","La Paz","La Union",Morazan,"San Miguel","San Salvador","San Vicente","Santa Ana",Sonsonate,Usulutan
1970,24.98,24.41,25.13,23.03,24.73,24.69,26.09,26.44,25.17,25.82,24.57,25.56,23.25,23.96,26.46
1971,24.88,24.19,25.01,23.12,24.61,24.53,25.92,26.35,25.15,25.74,24.43,25.42,23.24,23.72,26.32
1972,25.66,24.90,25.83,23.74,25.41,25.32,26.69,27.34,25.96,26.55,25.23,26.23,23.94,24.43,27.11
1973,25.14,24.51,25.25,23.34,24.93,24.91,26.18,26.49,25.34,25.97,24.82,25.66,23.56,24.06,26.55
1974,25.05,24.35,25.30,23.07,24.83,24.73,26.10,26.56,25.40,25.99,24.63,25.69,23.28,23.90,26.53
1975,24.96,24.23,25.13,23.19,24.78,24.70,25.97,26.35,25.29,25.84,24.63,25.52,23.34,23.77,26.36
1976,25.07,24.37,25.40,22.95,24.89,24.78,26.21,26.70,25.32,25.95,24.67,25.80,23.23,23.92,26.57
1977,25.54,24.67,25.91,23.77,25.40,25.21,26.54,27.18,25.75,26.36,25.15,26.24,23.90,24.20,26.92
1978,25.25,24.56,25.51,23.52,25.12,25.02,26.29,26.61,25.38,25.99,24.94,25.88,23.72,24.08,26.61
1979,25.42,24.76,25.58,23.48,25.23,25.19,26.47,26.88,25.66,26.28,25.10,25.99,23.71,24.32,26.85
1980,25.54,24.84,25.82,23.56,25.36,25.26,26.60,27.06,25.77,26.40,25.17,26.20,23.81,24.39,26.98
1981,25.22,24.62,25.52,23.28,25.07,24.98,26.31,26.61,25.39,26.01,24.88,25.90,23.54,24.18,26.64
1982,25.66,24.99,25.86,23.72,25.42,25.33,26.69,27.25,25.98,26.55,25.23,26.26,23.92,24.55,27.11
1983,25.85,25.05,26.03,23.98,25.63,25.53,26.90,27.47,26.07,26.74,25.45,26.43,24.18,24.56,27.31
1984,24.90,24.28,25.10,23.04,24.65,24.56,25.98,26.50,25.04,25.69,24.44,25.50,23.28,23.80,26.34
1985,25.23,24.38,25.56,23.49,25.15,25.02,26.24,26.65,25.42,25.99,24.97,25.90,23.65,23.92,26.56
1986,25.24,24.45,25.50,23.31,25.08,24.99,26.33,26.96,25.33,26.03,24.90,25.89,23.54,23.98,26.70
1987,26.04,25.19,26.36,23.99,25.86,25.71,27.05,27.74,26.37,26.97,25.63,26.72,24.23,24.76,27.50
1988,25.41,24.73,25.64,23.54,25.22,25.13,26.42,26.78,25.68,26.31,25.05,26.02,23.71,24.29,26.85
1989,25.22,24.44,25.51,23.30,25.03,24.90,26.29,26.74,25.54,26.13,24.81,25.89,23.41,23.99,26.69
1990,25.72,24.87,26.03,23.65,25.55,25.43,26.77,27.43,26.12,26.68,25.35,26.39,23.86,24.41,27.19
1991,25.73,24.86,26.05,23.79,25.58,25.44,26.73,27.45,25.99,26.62,25.37,26.39,23.99,24.40,27.15
1992,25.69,24.89,25.99,23.80,25.53,25.41,26.73,27.29,25.87,26.51,25.33,26.35,24.02,24.43,27.10
1993,25.39,24.77,25.52,23.52,25.17,25.13,26.45,26.91,25.53,26.20,25.03,25.94,23.80,24.31,26.82
1994,25.81,24.92,26.14,24.06,25.69,25.54,26.79,27.30,26.09,26.67,25.49,26.48,24.15,24.47,27.19
1995,25.27,24.64,25.39,23.48,25.00,24.94,26.29,26.75,25.50,26.14,24.84,25.79,23.64,24.18,26.71
1996,25.02,24.49,25.11,23.09,24.79,24.80,26.11,26.42,25.20,25.84,24.69,25.54,23.38,24.03,26.46
1997,25.96,25.30,26.11,24.00,25.72,25.67,26.98,27.50,26.25,26.90,25.57,26.51,24.25,24.84,27.43
1998,25.86,25.26,26.00,24.06,25.62,25.56,26.91,27.25,26.03,26.70,25.46,26.41,24.27,24.81,27.30
1999,24.78,24.28,24.93,22.70,24.47,24.42,25.91,26.34,25.01,25.67,24.27,25.37,23.00,23.80,26.29
2000,25.18,24.60,25.49,23.13,24.97,24.87,26.29,26.73,25.41,26.04,24.75,25.88,23.37,24.15,26.65
2001,25.42,24.73,25.72,23.42,25.22,25.11,26.52,26.98,25.64,26.31,25.00,26.11,23.61,24.25,26.91
2002,25.92,25.19,26.17,23.93,25.69,25.57,26.91,27.50,26.27,26.90,25.48,26.54,24.15,24.76,27.39
2003,25.66,25.07,25.87,23.77,25.49,25.43,26.74,27.06,25.70,26.40,25.34,26.27,24.12,24.58,27.07
2004,25.73,25.03,26.04,23.72,25.61,25.52,26.85,27.33,25.81,26.47,25.43,26.43,24.02,24.56,27.17
2005,25.57,24.98,25.69,23.70,25.32,25.27,26.61,26.98,25.82,26.45,25.17,26.11,23.90,24.55,27.03
2006,25.64,24.96,25.90,23.55,25.44,25.35,26.73,27.19,25.98,26.59,25.25,26.30,23.80,24.51,27.14
2007,25.49,24.85,25.68,23.60,25.30,25.25,26.55,26.91,25.70,26.33,25.15,26.07,23.86,24.36,26.90
2008,25.11,24.55,25.27,23.20,24.78,24.68,26.17,26.59,25.43,26.05,24.55,25.69,23.40,24.06,26.61
2009,25.96,25.27,26.31,24.00,25.80,25.66,26.97,27.49,26.20,26.77,25.57,26.66,24.29,24.84,27.34
2010,25.57,25.06,25.76,23.71,25.33,25.25,26.55,26.88,25.85,26.43,25.14,26.14,23.93,24.62,26.95
2011,25.55,25.00,25.67,23.78,25.31,25.26,26.52,26.83,25.82,26.39,25.17,26.06,24.02,24.54,26.92
2012,25.83,25.17,26.12,24.04,25.69,25.58,26.91,27.25,25.92,26.54,25.49,26.50,24.24,24.70,27.20
2013,25.99,25.32,26.20,24.21,25.79,25.69,26.95,27.45,26.16,26.79,25.61,26.57,24.44,24.84,27.35
