Variable:,tas
,Uruguay,Artigas,Canelones,"Cerro Largo",Colonia,Durazno,Flores,Florida,Lavalleja,Maldonado,Montevideo,Paysandu,"Rio Negro",Rivera,Rocha,Salto,"San Jose",Soriano,Tacuarembo,"Treinta Y Tres"
1970,17.47,18.80,16.62,17.51,17.09,17.34,16.95,16.62,16.44,16.27,16.68,18.05,17.78,17.82,17.05,18.31,16.78,17.31,17.75,17.41
1971,16.98,18.43,16.21,17.07,16.54,16.83,16.43,16.10,15.90,15.86,16.31,17.50,17.17,17.54,16.49,17.89,16.34,16.65,17.30,16.89
1972,17.39,18.76,16.64,17.43,17.01,17.21,16.91,16.59,16.38,16.24,16.67,17.93,17.68,17.94,16.88,18.23,16.81,17.20,17.68,17.25
1973,17.08,18.35,16.35,17.16,16.65,16.97,16.61,16.30,16.10,16.01,16.37,17.58,17.29,17.48,16.75,17.85,16.44,16.81,17.32,17.07
1974,17.02,18.36,16.38,17.00,16.74,16.92,16.62,16.32,16.03,15.94,16.42,17.43,17.25,17.44,16.61,17.77,16.49,16.87,17.25,16.91
1975,17.25,18.54,16.45,17.31,16.97,17.23,16.85,16.41,16.07,15.98,16.55,17.81,17.61,17.72,16.66,18.03,16.66,17.09,17.64,17.12
1976,16.53,18.09,15.67,16.52,16.18,16.39,16.03,15.57,15.27,15.25,15.78,17.26,16.95,16.97,15.93,17.51,15.86,16.31,16.83,16.29
1977,17.67,19.24,16.77,17.73,17.16,17.51,17.14,16.78,16.50,16.39,16.80,18.27,17.97,18.26,17.13,18.62,16.91,17.39,17.99,17.49
1978,17.10,18.74,16.22,17.17,16.66,16.94,16.55,16.18,15.89,15.82,16.29,17.66,17.37,17.71,16.55,18.06,16.34,16.85,17.40,16.91
1979,17.07,18.51,16.23,16.89,16.81,16.91,16.70,16.17,15.78,15.70,16.32,17.94,17.63,17.52,16.29,18.11,16.48,17.06,17.41,16.69
1980,17.74,19.39,16.94,17.55,17.42,17.54,17.26,16.88,16.50,16.43,17.01,18.48,18.11,18.25,17.03,18.85,17.13,17.56,18.00,17.38
1981,17.44,19.08,16.40,17.43,17.03,17.33,16.94,16.49,16.11,15.96,16.47,18.15,17.82,18.07,16.76,18.51,16.65,17.29,17.78,17.22
1982,17.70,19.38,16.74,17.59,17.33,17.54,17.30,16.78,16.34,16.21,16.77,18.44,18.16,18.28,16.91,18.78,16.96,17.65,18.04,17.34
