Variable:,tas
,Venezuela,Amazonas,Anzoategui,Apure,Aragua,Barinas,Bolivar,Carabobo,Cojedes,"Delta Amacuro","Dependencias Federales",Falcon,Guarico,Lara,Merida,Miranda,Monagas,"Nueva Esparta",Portuguesa,Sucre,Tachira,Trujillo,Yaracuy,Zulia,Vargas,"Distrito Capital"
1970,24.66,23.62,26.59,26.46,23.97,25.64,23.86,23.21,26.37,25.31,26.50,25.73,26.84,23.70,17.62,24.09,25.72,26.05,25.39,24.34,21.79,20.80,23.33,25.80,24.43,23.41
1971,24.31,23.12,26.30,26.38,23.62,25.49,23.53,22.58,26.12,24.91,26.03,25.34,26.54,23.23,17.09,23.62,25.36,25.58,25.25,23.90,21.53,20.23,22.64,25.49,23.94,22.97
1972,24.59,23.54,26.61,26.41,24.15,25.43,23.66,23.27,26.26,25.06,26.22,26.14,26.88,23.99,17.59,24.17,25.40,25.77,25.24,24.29,21.81,20.99,23.30,26.20,24.32,23.49
1973,24.75,23.75,26.66,26.66,24.07,25.70,24.01,23.16,26.36,25.24,26.39,25.70,26.91,23.64,17.55,24.11,25.55,25.88,25.41,24.27,22.04,20.74,23.16,25.93,24.40,23.48
1974,24.37,23.38,26.60,26.50,23.69,25.37,23.51,22.76,26.14,24.80,25.91,25.21,26.83,23.07,16.91,23.71,25.24,25.48,25.18,23.98,21.09,20.15,22.69,25.24,23.92,23.03
1975,24.42,23.35,26.56,26.45,24.00,25.53,23.53,23.05,26.46,24.77,25.90,25.47,26.84,23.47,17.11,23.98,25.37,25.45,25.49,24.01,21.31,20.51,23.04,25.45,24.04,23.31
1976,24.40,23.43,26.54,26.32,23.85,25.33,23.48,22.94,26.11,24.94,25.89,25.65,26.67,23.50,17.08,23.84,25.32,25.44,25.23,23.99,21.12,20.55,22.99,25.79,24.00,23.16
1977,24.96,23.83,27.05,26.71,24.51,25.85,24.11,23.71,26.74,25.45,26.29,26.41,27.20,24.37,17.74,24.38,26.00,25.79,25.70,24.42,22.00,21.26,23.81,26.45,24.60,23.78
1978,24.98,23.85,27.09,26.77,24.51,25.94,24.10,23.73,26.71,25.49,26.36,26.37,27.16,24.41,17.91,24.52,26.10,25.90,25.77,24.58,22.15,21.29,23.85,26.30,24.66,23.90
1979,25.08,24.09,27.23,26.82,24.54,25.93,24.31,23.63,26.73,25.58,26.52,26.19,27.34,24.17,17.75,24.56,26.12,26.04,25.86,24.63,21.86,21.11,23.66,26.00,24.66,23.89
1980,25.04,24.10,26.98,26.90,24.51,25.92,24.11,23.75,26.78,25.42,26.58,26.52,27.25,24.43,17.79,24.59,25.81,26.05,25.77,24.57,22.12,21.30,23.84,26.42,24.83,23.95
1981,24.93,23.91,26.93,26.76,24.41,25.81,24.12,23.61,26.50,25.64,26.74,26.10,27.20,24.08,17.64,24.59,25.94,26.18,25.61,24.64,21.80,20.94,23.67,25.85,24.80,23.91
1982,24.78,23.86,26.84,26.64,24.09,25.44,24.02,23.37,26.27,25.20,26.18,25.99,26.97,23.87,17.46,24.08,25.65,25.60,25.20,24.28,21.55,20.88,23.32,25.94,24.24,23.39
1983,25.32,24.39,27.33,27.17,25.12,26.11,24.41,24.38,27.25,25.39,26.51,26.77,27.77,24.85,18.11,24.83,25.85,25.95,26.01,24.71,22.23,21.65,24.33,26.55,24.91,24.23
1984,24.79,23.64,26.72,27.10,24.73,26.06,23.76,23.69,27.36,24.62,26.00,26.17,27.61,24.33,17.47,24.41,25.10,25.38,26.26,24.01,21.69,21.06,23.81,25.78,24.33,23.81
1985,24.57,23.80,26.19,26.70,23.90,25.66,23.68,23.13,26.50,24.94,25.87,25.66,26.73,23.65,17.26,23.80,25.13,25.36,25.60,23.88,21.31,20.74,23.19,25.45,24.02,23.19
