iso3;country;residence_type;service_type;year;uncorrected_coverage;population;service_level;coverage
ARG;Argentina;urban;Drinking water;2000;9.870.544;3.261.783.598.898;At least basic;0.9870544
ARG;Argentina;urban;Drinking water;2000;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2000;0.12448;4.113.585.788;Surface water;0.0012448
ARG;Argentina;urban;Drinking water;2000;117.007;38.665.815.315;Unimproved;0.0117007
ARG;Argentina;urban;Drinking water;2001;9.876.104;3.306.613.176.555;At least basic;0.9876104
ARG;Argentina;urban;Drinking water;2001;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2001;0.12409;4.154.568.507;Surface water;0.0012409
ARG;Argentina;urban;Drinking water;2001;111.487;37.327.054.938;Unimproved;0.0111487
ARG;Argentina;urban;Drinking water;2002;9.881.663;3.350.959.720.015;At least basic;0.9881663
ARG;Argentina;urban;Drinking water;2002;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2002;0.12369;4.194.542.584;Surface water;0.0012369
ARG;Argentina;urban;Drinking water;2002;105.968;35.934.537.401;Unimproved;0.0105968
ARG;Argentina;urban;Drinking water;2003;9.887.222;3.394.298.902.776;At least basic;0.9887222
ARG;Argentina;urban;Drinking water;2003;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2003;0.1233;4.232.861.638;Surface water;0.001233
ARG;Argentina;urban;Drinking water;2003;100.448;34.483.835.586;Unimproved;0.0100448
ARG;Argentina;urban;Drinking water;2004;9.892.782;3.437.522.065.302;At least basic;0.9892782
ARG;Argentina;urban;Drinking water;2004;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2004;0.1229;4.270.647.878;Surface water;0.001229
ARG;Argentina;urban;Drinking water;2004;0.94928;3.298.528.682;Unimproved;0.0094928
ARG;Argentina;urban;Drinking water;2005;9.898.341;3.481.796.937.663;At least basic;0.9898341
ARG;Argentina;urban;Drinking water;2005;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2005;0.12251;4.309.348.864;Surface water;0.0012251
ARG;Argentina;urban;Drinking water;2005;0.89408;31.449.713.472;Unimproved;0.0089408
ARG;Argentina;urban;Drinking water;2006;9.903.901;352.659.277.999;At least basic;0.9903901
ARG;Argentina;urban;Drinking water;2006;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2006;0.12212;4.348.296.087;Surface water;0.0012212
ARG;Argentina;urban;Drinking water;2006;0.83888;29.870.923.923;Unimproved;0.0083888
ARG;Argentina;urban;Drinking water;2007;990.946;3.570.819.159.772;At least basic;0.990946
ARG;Argentina;urban;Drinking water;2007;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2007;0.12172;4.386.143.499;Surface water;0.0012172
ARG;Argentina;urban;Drinking water;2007;0.78368;28.239.496.729;Unimproved;0.0078368
ARG;Argentina;urban;Drinking water;2008;9.915.019;3.615.000.533.653;At least basic;0.9915019
ARG;Argentina;urban;Drinking water;2008;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2008;0.12133;4.423.541.506;Surface water;0.0012133
ARG;Argentina;urban;Drinking water;2008;0.72848;26.560.324.842;Unimproved;0.0072848
ARG;Argentina;urban;Drinking water;2009;9.920.579;3.660.399.040.606;At least basic;0.9920579
ARG;Argentina;urban;Drinking water;2009;0;0;Limited service;0
ARG;Argentina;urban;Drinking water;2009;0.12093;4.462.029.948;Surface water;0.0012093
ARG;Argentina;urban;Drinking water;2009;0.67328;24.842.129.446;Unimproved;0.0067328
